year,month,stand,species,elevation,plot,old.tag,new.tag,predawn,midday,potdiff
2014,july,PIPOHA,PIPO,H,A,T1,T1,-1.15,-1.6,-0.45
2014,july,PIPOHA,PIPO,H,A,T5,T5,-1.2,-1.5,-0.3
2014,july,PIPOHA,PIPO,H,A,T7,T7,-0.85,-1.5,-0.65
2014,july,PIPOHB,PIPO,H,B,T1,315,-0.75,-1.55,-0.8
2014,july,PIPOHB,PIPO,H,B,T4,314,-0.7,-1.65,-0.95
2014,july,PIPOHB,PIPO,H,B,T5,317,-0.75,-1.6,-0.85
2014,july,PIPOHC,PIPO,H,C,T12,353,-0.65,-1.85,-1.2
2014,july,PIPOHC,PIPO,H,C,T3,343,-0.8,-1.65,-0.85
2014,july,PIPOHC,PIPO,H,C,T8,348,-0.75,-2,-1.25
2014,july,PIPOHD,PIPO,H,D,T3,253,-0.9,-1.35,-0.45
2014,july,PIPOHD,PIPO,H,D,T4,257,-1.25,-1.6,-0.35
2014,july,PIPOHD,PIPO,H,D,T5,285,-1.3,-1.55,-0.25
2014,july,PIPOHE,PIPO,H,E,T1,T1,-0.8,-1.775,-0.975
2014,july,PIPOHE,PIPO,H,E,T2,T2,-0.75,-1.475,-0.725
2014,july,PIPOHE,PIPO,H,E,T5,T5,-0.7,-1.625,-0.925
2014,july,PIPOLA,PIPO,L,A,T1,T1,-1.3,-1.65,-0.35
2014,july,PIPOLA,PIPO,L,A,T10,T10,-1.3,-1.95,-0.65
2014,july,PIPOLA,PIPO,L,A,T8,T8,-1.5,-1.6,-0.1
2014,july,PIPOLB,PIPO,L,B,T1,T1,-1.35,,
2014,july,PIPOLB,PIPO,L,B,T12,T12,-1.3,-1.7,-0.4
2014,july,PIPOLB,PIPO,L,B,T3,T3,-1.6,-1.8,-0.2
2014,july,PIPOLB,PIPO,L,B,T8,T8,,-1.8,-0.383
2014,july,PIPOLC,PIPO,L,C,T1,1083,-1.35,-1.4,-0.05
2014,july,PIPOLC,PIPO,L,C,T4,1080,-1.7,-1.8,-0.1
2014,july,PIPOLC,PIPO,L,C,T5,1087,-1.7,-2.15,-0.45
2014,july,PIPOLD,PIPO,L,D,T10,T10,-1.475,-1.575,-0.1
2014,july,PIPOLD,PIPO,L,D,T4,T4,-1.8,-1.9,-0.1
2014,july,PIPOLD,PIPO,L,D,T5,T5,,-1.85,
2014,july,PIPOLD,PIPO,L,D,T8,T8,-1.4,-1.5,-0.1
