new_column,new_row,new_plate,sjnf_plate,amp_success,old_column,old_well
1,B,dmc_4,D06,1,1,A
1,C,dmc_4,D06,1,1,B
1,D,dmc_4,D06,1,1,E
1,E,dmc_4,D06,1,1,F
1,F,dmc_4,D06,1,1,H
1,G,dmc_4,D06,1,2,C
1,H,dmc_4,D06,1,2,D
2,A,dmc_4,D06,1,2,F
2,B,dmc_4,D06,1,2,G
2,C,dmc_4,D06,1,2,H
2,D,dmc_4,D06,1,3,C
2,E,dmc_4,D06,1,3,H
2,F,dmc_4,D06,1,4,C
2,G,dmc_4,D06,1,4,D
2,H,dmc_4,D06,1,4,E
3,A,dmc_4,D06,1,4,F
3,B,dmc_4,D06,1,5,A
3,C,dmc_4,D06,1,5,G
3,D,dmc_4,D06,1,5,H
3,E,dmc_4,D06,1,6,A
3,F,dmc_4,D06,1,6,D
3,G,dmc_4,D06,1,6,E
3,H,dmc_4,D06,1,6,G
4,A,dmc_4,D06,1,7,A
4,B,dmc_4,D06,1,7,B
4,C,dmc_4,D06,1,7,C
4,D,dmc_4,D06,1,7,F
4,E,dmc_4,D06,1,7,G
4,F,dmc_4,D06,1,7,H
4,G,dmc_4,D06,1,8,A
4,H,dmc_4,D06,1,8,B
5,A,dmc_4,D06,1,8,G
5,B,dmc_4,D06,1,9,A
5,C,dmc_4,D06,1,9,C
5,D,dmc_4,D06,1,9,D
5,E,dmc_4,D06,1,9,E
5,F,dmc_4,D06,1,9,F
5,G,dmc_4,D06,1,9,G
5,H,dmc_4,D06,1,9,H
6,A,dmc_4,D06,1,10,A
6,B,dmc_4,D06,1,10,B
6,C,dmc_4,D06,1,10,D
6,D,dmc_4,D06,1,10,E
6,E,dmc_4,D06,1,10,F
6,F,dmc_4,D06,1,10,G
6,G,dmc_4,D06,1,11,A
6,H,dmc_4,D06,1,11,B
7,A,dmc_4,D06,1,11,C
7,B,dmc_4,D06,1,11,D
7,C,dmc_4,D06,1,11,E
7,D,dmc_4,D06,1,11,G
7,E,dmc_4,D06,1,11,H
7,F,dmc_4,D06,1,12,A
7,G,dmc_4,D06,1,12,B
7,H,dmc_4,D06,1,12,C
8,A,dmc_4,D06,1,12,D
8,B,dmc_4,D06,1,12,E
8,C,dmc_4,D06,1,12,F
8,D,dmc_4,D06,1,12,G
8,E,dmc_4,D06,1,12,H
