species,elev,plot,p_do_mass_(mg),c_n_test_sample_mass_(mg),c_n_archive_sample_mass_(mg),consecutive_label,Sample wt (mg),δ15NAIR (‰),δ13CVPDB (‰),Wt% N,Wt% C,%C:%N ratio
ABLA,H,A,319.54,111.92,117.01,1,14.075,3.2,-23.3,0.3,6.1,18.2
ABLA,H,C,320.2,113.92,124.76,2,15.568,1,-23,0.6,11.9,19.5
ABLA,H,D,373.3,149.75,114.38,3,15.761,1.3,-23.4,0.4,8,20.8
ABLA,H,F,343.2,146.9,110.6,4,14.927,1.1,-23.2,0.4,9.1,21.3
ABLA,L,D,353.88,112.90,123.93,5,15.043,3.2,-24.3,0.3,5.9,18.8
ABLA,L,E,307.7,108.75,129.89,6,15.176,3.4,-24.6,0.4,6.2,16.8
ABLA,M,A,336.2,111.67,108.73,7,15.654,3.1,-23.7,0.2,3.5,15.1
ABLA,M,B,378.5,106.41,133.24,8,15.929,3.2,-23.5,0.2,3.4,17.9
ABLA,M,C,334.3,123.39,125.19,9,15.377,3.9,-23.5,0.1,2.2,18.2
PIPO,H,B,384.84,124.92,196.06,10,15.278,4.8,-24.2,0.2,3,17.9
PIPO,H,D,300.85,117.42,116.36,11,15.815,3.5,-24.2,0.3,6.4,23.3
PIPO,L,C,301.4,128.26,143.27,12,14.846,4.8,-23.6,0.1,1.1,16.1
PIPO,L,D,317.2,119.17,122.06,13,14.157,3.8,-24,0.2,3.6,16.4
PIPO,L,E,304.6,133.5,130.6,14,14.319,6.2,-24,0.1,2.2,17.8
PIPO,L,F,318.9,125.16,158.16,15,14.354,2.9,-23.8,0.2,3.5,18.8
PIPO,L,G,300.5,114.00,153.06,16,13.948,3.6,-23.5,0.1,1.7,20.8
PIPO,M,C,340.7,120.74,151.65,17,15.796,3.3,-23.3,0.1,2.7,23.3
PIPO,M,D,349.03,118.83,144.88,18,15.242,3.9,-23.9,0.1,2.2,20.6
PIPO,M,E,324.8,100.92,140.3,19,14.786,3.3,-25,0.4,6,16.4
POTR,H,A,304.1,127.88,114.02,20,14.596,4,-25.6,0.5,7.3,14.6
POTR,H,B,327.92,117.82,103.19,21,14.393,3.4,-25.9,0.3,5.1,15
POTR,H,C,349.66,126.12,113.83,22,14.786,2.9,-25.5,0.4,6.8,15.4
POTR,H,D,352.17,127.16,114.02,23,15.591,2.9,-24.8,0.5,7.9,14.7
POTR,H,E,339.61,117.13,114.98,24,15.217,4.3,-24.6,0.2,4.1,17.6
POTR,L,B,335.6,115.32,163.36,25,14.568,4.4,-24.1,0.2,3.2,17.3
POTR,L,C,309.5,127.4,101.8,26,13.735,4.2,-23.6,0.2,3.3,22.3
POTR,L,D,328.45,118.96,147.46,27,14.042,3.8,-24,0.2,4.3,17.7
POTR,L,E,347.7,112.26,123.43,28,14.319,3.8,-24.3,0.2,4.1,20.3
POTR,L,F,308.1,110.92,133.3,29,15.449,5,-24.2,0.2,3.1,15.8
POTR,L,G,316,119.75,99.12,30,14.912,3.9,-24.7,0.4,7.5,18.9
POTR,M,A,304.59,119.99,110.20,31,15.294,4.1,-25.1,0.5,7.6,14.7
POTR,M,B,350.4,125.42,112.74,32,14.184,3.7,-24.6,0.5,8.3,16.2
POTR,M,C,343.9,123.39,127.90,33,14.746,3.2,-25.1,0.4,7.6,17.1
POTR,M,D,319.89,136.29,108.04,34,13.955,3.4,-25.4,0.5,7.5,16.4
POTR,M,E,301,126.37,83.13,35,14.219,4.1,-25.2,0.4,7.1,16.5
