sjnf_plate,old_column,old_well,amp_success,new_column,new_well
D06,1,C,NA,1,A
D06,1,D,NA,1,B
D06,1,G,NA,1,C
D06,2,A,NA,1,D
D06,2,B,NA,1,E
D06,2,E,NA,1,F
D06,3,A,NA,1,G
D06,3,B,NA,1,H
D06,3,D,NA,2,A
D06,3,E,NA,2,B
D06,3,F,NA,2,C
D06,3,G,NA,2,D
D06,4,A,NA,2,E
D06,4,B,NA,2,F
D06,4,G,NA,2,G
D06,4,H,NA,2,H
D06,5,B,NA,3,A
D06,5,C,NA,3,B
D06,5,D,NA,3,C
D06,5,E,NA,3,D
D06,5,F,NA,3,E
D06,6,B,NA,3,F
D06,6,C,NA,3,G
D06,6,F,NA,3,H
D06,6,H,NA,4,A
D06,7,D,NA,4,B
D06,7,E,NA,4,C
D06,8,C,NA,4,D
D06,8,D,NA,4,E
D06,8,E,NA,4,F
D06,8,F,NA,4,G
D06,8,H,NA,4,H
D06,9,B,NA,5,A
D06,10,C,NA,5,B
D06,10,H,NA,5,C
D06,11,F,NA,5,D
D07,1,B,NA,5,E
D07,1,C,NA,5,F
D07,2,B,NA,5,G
D07,2,C,NA,5,H
D07,2,D,NA,6,A
D07,2,E,NA,6,B
D07,2,F,NA,6,C
D07,2,G,NA,6,D
D07,2,H,NA,6,E
D07,3,A,NA,6,F
D07,3,B,NA,6,G
D07,3,C,NA,6,H
D07,3,G,NA,7,A
D07,3,H,NA,7,B
D07,4,A,NA,7,C
D07,4,B,NA,7,D
D07,4,D,NA,7,E
D07,4,F,NA,7,F
D07,4,G,NA,7,G
D07,4,H,NA,7,H
D07,5,A,NA,8,A
D07,5,B,NA,8,B
D07,5,H,NA,8,C
D07,6,C,NA,8,D
D07,6,E,NA,8,E
D07,6,F,NA,8,F
D07,7,C,NA,8,G
D07,8,B,NA,8,H
D07,8,E,NA,9,A
D07,8,F,NA,9,B
D07,8,G,NA,9,C
D07,8,H,NA,9,D
D07,9,D,NA,9,E
D07,9,H,NA,9,F
D07,10,A,NA,9,G
D07,10,D,NA,9,H
D07,10,H,NA,10,A
D07,11,B,NA,10,B
D07,11,E,NA,10,C
D07,11,F,NA,10,D
D07,11,H,NA,10,E
D07,12,A,NA,10,F
D07,12,C,NA,10,G
D07,12,E,NA,10,H
D07,12,G,NA,11,A
D07,12,H,NA,11,B
