site,tree_id,direction,sample,newplate,column,row
LG,GRLG1,South,1318,D15,A,1
LG,GRLG1,South,1319,D15,B,1
LG,GRLG1,South,1321,D15,C,1
LG,GRLG1,South,1322,D15,D,1
LG,GRLG1,South,1323,D15,E,1
LG,GRLG1,South,1324,D15,F,1
LG,GRLG1,West,1325,D15,G,1
LG,GRLG1,West,1326,D15,H,1
LG,GRLG1,West,1327,D15,A,2
LG,GRLG1,West,1328,D15,B,2
LG,GRLG1,West,1329,D15,C,2
LG,GRLG1,West,1331,D15,D,2
LG,GRLG1,North,1332,D15,E,2
LG,GRLG1,North,1333,D15,F,2
LG,GRLG1,North,1334,D15,G,2
LG,GRLG1,North,1335,D15,H,2
LG,GRLG1,North,1336,D15,A,3
LG,GRLG1,North,1337,D15,B,3
LG,GRLG1,East,1338,D15,C,3
LG,GRLG1,East,1339,D15,D,3
LG,GRLG1,East,1341,D15,E,3
LG,GRLG1,East,1342,D15,F,3
LG,GRLG1,East,1343,D15,G,3
LG,GRLG1,East,1344,D15,H,3
LG,GRLG2,South,1345,D15,A,4
LG,GRLG2,South,1346,D15,B,4
LG,GRLG2,South,1347,D15,C,4
LG,GRLG2,South,1348,D15,D,4
LG,GRLG2,South,1349,D15,E,4
LG,GRLG2,South,1351,D15,F,4
LG,GRLG2,West,1352,D15,G,4
LG,GRLG2,West,1353,D15,H,4
LG,GRLG2,West,1354,D15,A,5
LG,GRLG2,West,1355,D15,B,5
LG,GRLG2,West,1356,D15,C,5
LG,GRLG2,East,1357,D15,D,5
LG,GRLG2,East,1358,D15,E,5
LG,GRLG2,East,1359,D15,F,5
LG,GRLG2,East,1361,D15,G,5
LG,GRLG2,East,1362,D15,H,5
LG,GRLG2,East,1363,D15,A,6
LG,GRLG2,North,1364,D15,B,6
LG,GRLG2,North,1365,D15,C,6
LG,GRLG2,North,1366,D15,D,6
LG,GRLG2,North,1367,D15,E,6
LG,GRLG2,North,1368,D15,F,6
LC,114,East,1393,D15,G,6
LC,114,East,1394,D15,H,6
LC,114,East,1395,D15,A,7
LC,114,East,1396,D15,B,7
LC,114,East,1397,D15,C,7
LC,114,West,1398,D15,D,7
LC,114,West,1399,D15,E,7
LC,114,West,1511,D15,F,7
LC,114,West,1512,D15,G,7
LC,114,North,1513,D15,H,7
LC,114,North,1514,D15,A,8
LC,114,North,1515,D15,B,8
LC,114,North,1516,D15,C,8
LC,114,North,1517,D15,D,8
LC,114,South,1518,D15,E,8
LC,114,South,1519,D15,F,8
LC,114,South,1521,D15,G,8
LC,114,South,1522,D15,H,8
LC,114,South,1523,D15,A,9
LC,108,South,1574,D15,B,9
LC,108,South,1575,D15,C,9
LC,108,South,1576,D15,D,9
LC,108,South,1577,D15,E,9
LC,108,South,1578,D15,F,9
LC,108,West,1579,D15,G,9
LC,108,West,1581,D15,H,9
LC,108,West,1582,D15,A,10
LC,108,West,1583,D15,B,10
LC,108,West,1584,D15,C,10
LC,108,West,1585,D15,D,10
LC,108,East,1586,D15,E,10
LC,108,East,1587,D15,F,10
LC,108,East,1588,D15,G,10
LC,108,East,1589,D15,H,10
LC,108,East,1591,D15,A,11
LC,108,East,1592,D15,B,11
LC,108,North,1593,D15,C,11
LC,108,North,1594,D15,D,11
LC,108,North,1595,D15,E,11
LC,108,North,1596,D15,F,11
