plate,column,row,sample
D15,1,A,1318
D15,1,B,1319
D15,1,C,1321
D15,1,D,1322
D15,1,E,1323
D15,1,F,1324
D15,1,G,1325
D15,1,H,1326
D15,2,A,1327
D15,2,B,1328
D15,2,C,1329
D15,2,D,1331
D15,2,E,1332
D15,2,F,1333
D15,2,G,1334
D15,2,H,1335
D15,3,A,1336
D15,3,B,1337
D15,3,C,1338
D15,3,D,1339
D15,3,E,1341
D15,3,F,1342
D15,3,G,1343
D15,3,H,1344
D15,4,A,1345
D15,4,B,1346
D15,4,C,1347
D15,4,D,1348
D15,4,E,1349
D15,4,F,1351
D15,4,G,1352
D15,4,H,1353
D15,5,A,1354
D15,5,B,1355
D15,5,C,1356
D15,5,D,1357
D15,5,E,1358
D15,5,F,1359
D15,5,G,1361
D15,5,H,1362
D15,6,A,1363
D15,6,B,1364
D15,6,C,1365
D15,6,D,1366
D15,6,E,1367
D15,6,F,1368
D15,6,G,1393
D15,6,H,1394
D15,7,A,1395
D15,7,B,1396
D15,7,C,1397
D15,7,D,1398
D15,7,E,1399
D15,7,F,1511
D15,7,G,1512
D15,7,H,1513
D15,8,A,1514
D15,8,B,1515
D15,8,C,1516
D15,8,D,1517
D15,8,E,1518
D15,8,F,1519
D15,8,G,1521
D15,8,H,1522
D15,9,A,1523
D15,9,B,1574
D15,9,C,1575
D15,9,D,1576
D15,9,E,1577
D15,9,F,1578
D15,9,G,1579
D15,9,H,1581
D15,10,A,1582
D15,10,B,1583
D15,10,C,1584
D15,10,D,1585
D15,10,E,1586
D15,10,F,1587
D15,10,G,1588
D15,10,H,1589
D15,11,A,1591
D15,11,B,1592
D15,11,C,1593
D15,11,D,1594
D15,11,E,1595
D15,11,F,1596
D15,11,G,1597
D15,11,H,2374
D15,12,A,2375
D15,12,B,2376
D15,12,C,2377
D15,12,D,2378
D15,12,E,2379
D15,12,F,2381
D15,12,G,2382
D15,12,H,2383
D16,1,A,2384
D16,1,B,2385
D16,1,C,2386
D16,1,D,2387
D16,1,E,2388
D16,1,F,2389
D16,1,G,2391
D16,1,H,2392
D16,2,A,2393
D16,2,B,2394
D16,2,C,2395
D16,2,D,2396
D16,2,E,2397
D16,2,F,2581
D16,2,G,2582
D16,2,H,2583
D16,3,A,2584
D16,3,B,2585
D16,3,C,2586
D16,3,D,2587
D16,3,E,2588
D16,3,F,2589
D16,3,G,2591
D16,3,H,2592
D16,4,A,2593
D16,4,B,2594
D16,4,C,2595
D16,4,D,2596
D16,4,E,2597
D16,4,F,2598
D16,4,G,2599
D16,4,H,2611
D16,5,A,2612
D16,5,B,2613
D16,5,C,2737
D16,5,D,2738
D16,5,E,2739
D16,5,F,2741
D16,5,G,2742
D16,5,H,2743
D16,6,A,2744
D16,6,B,2745
D16,6,C,2746
D16,6,D,2747
D16,6,E,2748
D16,6,F,2749
D16,6,G,2751
D16,6,H,2752
D16,7,A,2753
D16,7,B,2754
D16,7,C,2755
D16,7,D,2756
D16,7,E,2757
D16,7,F,2758
D16,7,G,2759
D16,7,H,2761
D16,8,A,2762
D16,8,B,2763
D16,8,C,2764
D16,8,D,2765
D16,8,E,2766
D16,8,F,2767
D16,8,G,2768
D16,8,H,2769
D16,9,A,2771
D16,9,B,2772
D16,9,C,2773
D16,9,D,2774
D16,9,E,2775
D16,9,F,2776
D16,9,G,2777
D16,9,H,2778
D16,10,A,2779
D16,10,B,2781
D16,10,C,2782
D16,10,D,2783
D16,10,E,2784
D16,10,F,3177
D16,10,G,3178
D16,10,H,3179
D16,11,A,3181
D16,11,B,3182
D16,11,C,3183
D16,11,D,3184
D16,11,E,3185
D16,11,F,3186
D16,11,G,3187
D16,11,H,3188
D16,12,A,3189
D16,12,B,3191
D16,12,C,3192
D16,12,D,3193
D16,12,E,3194
D16,12,F,3195
D16,12,G,3196
D16,12,H,3197
D17,1,A,3198
D17,1,B,3199
D17,1,C,3311
D17,1,D,3312
D17,1,E,3313
D17,1,F,3314
D17,1,G,3315
D17,1,H,3316
D17,2,A,3317
D17,2,B,3318
D17,2,C,3319
D17,2,D,3321
D17,2,E,3322
D17,2,F,3323
D17,2,G,3324
D17,2,H,3325
D17,3,A,3326
D17,3,B,3327
D17,3,C,3328
D17,3,D,3329
D17,3,E,3331
D17,3,F,3332
D17,3,G,3333
D17,3,H,3334
D17,4,A,3335
D17,4,B,3336
D17,4,C,3569
D17,4,D,3571
D17,4,E,3572
D17,4,F,3573
D17,4,G,3574
D17,4,H,3575
D17,5,A,3587
D17,5,B,3588
D17,5,C,3589
D17,5,D,3591
D17,5,E,3592
D17,5,F,3593
D17,5,G,3594
D17,5,H,3595
D17,6,A,3596
D17,6,B,3597
D17,6,C,3598
D17,6,D,3599
D17,6,E,3711
D17,6,F,3712
D17,6,G,3713
D17,6,H,3737
D17,7,A,3738
D17,7,B,3739
D17,7,C,3741
D17,7,D,3742
D17,7,E,3743
D17,7,F,3744
D17,7,G,3745
D17,7,H,3746
D17,8,A,3747
D17,8,B,3748
D17,8,C,3749
D17,8,D,3751
D17,8,E,3752
D17,8,F,3753
D17,8,G,3754
D17,8,H,3755
D17,9,A,3756
D17,9,B,3757
D17,9,C,3758
D17,9,D,3968
D17,9,E,3969
D17,9,F,3971
D17,9,G,3972
D17,9,H,3973
D17,10,A,3974
D17,10,B,3975
D17,10,C,3976
D17,10,D,3977
D17,10,E,3978
