plate,column,row,sample
D12,1,a,3572
D12,1,b,3575
D12,1,c,3587
D12,1,d,3588
D12,1,e,3589
D12,1,f,3599
D12,1,g,3711
D12,1,h,3712
D12,2,a,3931
D12,2,b,3932
D12,2,c,3933
D12,2,d,3934
D12,2,e,3935
D12,2,f,3936
D12,2,g,3937
D12,2,h,3939
D12,3,a,3942
D12,3,b,3944
D12,3,c,3951
D12,3,d,3955
D12,3,e,3957
D12,3,f,3962
D12,3,g,3963
D12,3,h,3964
D12,4,a,3967
D12,4,b,3971
D12,4,c,3972
D12,4,d,3982
D12,4,e,3986
D12,4,f,4158
D12,4,g,4164
D12,4,h,4166
D12,5,a,4168
D12,5,b,4172
D12,5,c,4177
D12,5,d,4184
D12,5,e,4186
D12,5,f,4187
D12,5,g,4188
D12,5,h,4189
D12,6,a,4191
D12,6,b,4196
D12,6,c,4314
D12,6,d,4316
D12,6,e,4321
D12,6,f,4322
D12,6,g,4326
D12,6,h,4332
D12,7,a,4338
D12,7,b,4393
D12,7,c,4397
D12,7,d,4516
D12,7,e,4517
D12,7,f,4518
D12,7,g,4521
D12,7,h,4523
D12,8,a,4525
D12,8,b,4526
D12,8,c,4527
D12,8,d,4533
D12,8,e,4534
D12,8,f,4534
D12,8,g,4535
D12,8,h,4537
D12,9,a,4538
D12,9,b,4539
D12,9,c,4541
D12,9,d,4542
D12,9,e,4543
D12,9,f,4546
D12,9,g,4551
D12,9,h,4553
D12,10,a,4554
D12,10,b,4556
D12,10,c,4561
D12,10,d,4565
D12,10,e,4566
D12,10,f,4568
D12,10,g,4569
D12,10,h,1733
D12,11,a,1743
D12,11,b,1744
D12,11,c,1958
D12,11,d,1962
D12,11,e,1974
D12,11,f,1977
D12,11,g,1978
D12,11,h,1985
D12,12,a,1996
D12,12,b,1997
D12,12,c,2326
D12,12,d,2328
D12,12,e,2341
D12,12,f,2346
D12,12,g,2535
D12,12,h,2539
D11,1,a,1733
D11,1,b,1734
D11,1,c,1736
D11,1,d,1743
D11,1,e,1744
D11,1,f,1745
D11,1,g,1747
D11,1,h,1958
D11,2,a,1961
D11,2,b,1962
D11,2,c,1963
D11,2,d,1966
D11,2,e,1967
D11,2,f,1973
D11,2,g,1974
D11,2,h,1977
D11,3,a,1978
D11,3,b,1979
D11,3,c,1981
D11,3,d,1985
D11,3,e,1986
D11,3,f,1989
D11,3,g,1992
D11,3,h,1993
D11,4,a,1996
D11,4,b,1997
D11,4,c,2324
D11,4,d,2325
D11,4,e,2326
D11,4,f,2328
D11,4,g,2331
D11,4,h,2333
D11,5,a,2334
D11,5,b,2339
D11,5,c,2341
D11,5,d,2345
D11,5,e,2346
D11,5,f,2535
D11,5,g,2536
D11,5,h,2538
D11,6,a,2539
D11,6,b,2548
D11,6,c,2971
D11,6,d,2972
D11,6,e,2973
D11,6,f,2974
D11,6,g,2976
D11,6,h,2977
D11,7,a,2978
D11,7,b,2979
D11,7,c,2983
D11,7,d,2985
D11,7,e,2986
D11,7,f,2989
D11,7,g,2992
D11,7,h,3128
D11,8,a,3129
D11,8,b,3131
D11,8,c,3132
D11,8,d,3137
D11,8,e,3138
D11,8,f,3142
D11,8,g,3144
D11,8,h,3151
D11,9,a,3366
D11,9,b,3371
D11,9,c,3372
D11,9,d,3373
D11,9,e,3377
D11,9,f,3378
D11,9,g,3383
D11,9,h,3384
D11,10,a,3387
D11,10,b,3388
D11,10,c,3392
D11,10,d,3394
D11,10,e,3398
D11,10,f,3515
D11,10,g,3517
D11,10,h,3521
D11,11,a,3529
D11,11,b,3531
D10,1,a,4572
D10,1,b,4573
D10,1,c,4574
D10,1,d,4575
D10,1,e,4576
D10,1,f,4577
D10,1,g,4578
D10,1,h,4579
D10,2,a,4581
D10,2,b,4582
D10,2,c,4583
D10,2,d,4584
D10,2,e,4585
D10,2,f,4586
D10,2,g,4587
D10,2,h,4588
D10,3,a,4589
D10,3,b,4591
D10,3,c,4592
D10,3,d,4593
D10,3,e,4594
D10,3,f,4595
D10,3,g,4596
D10,3,h,4597
D10,4,a,4598
D10,4,b,4599
D10,4,c,4711
D10,4,d,4712
D10,4,e,4738
D10,4,f,4739
D10,4,g,4741
D10,4,h,4742
D10,5,a,4743
D10,5,b,4744
D10,5,c,4745
D10,5,d,4746
D10,5,e,4747
D10,5,f,4748
D10,5,g,4749
D10,5,h,4751
D10,6,a,4752
D10,6,b,4753
D10,6,c,4754
D10,6,d,4755
D10,6,e,4756
D10,6,f,4757
D10,6,g,4758
D10,6,h,4759
D10,7,a,4761
D10,7,b,4762
D09,1,a,4189
D09,1,b,4191
D09,1,c,4192
D09,1,d,4193
D09,1,e,4194
D09,1,f,4195
D09,1,g,4196
D09,1,h,4197
D09,2,a,4198
D09,2,b,4199
D09,2,c,4312
D09,2,d,4313
D09,2,e,4314
D09,2,f,4315
D09,2,g,4316
D09,2,h,4317
D09,3,a,4318
D09,3,b,4319
D09,3,c,4321
D09,3,d,4322
D09,3,e,4323
D09,3,f,4324
D09,3,g,4325
D09,3,h,4326
D09,4,a,4327
D09,4,b,4328
D09,4,c,4329
D09,4,d,4331
D09,4,e,4332
D09,4,f,4333
D09,4,g,4334
D09,4,h,4335
D09,5,a,4336
D09,5,b,4338
D09,5,c,4339
D09,5,d,4393
D09,5,e,4394
D09,5,f,4395
D09,5,g,4396
D09,5,h,4397
D09,6,a,4398
D09,6,b,4511
D09,6,c,4512
D09,6,d,4513
D09,6,e,4514
D09,6,f,4515
D09,6,g,4516
D09,6,h,4517
D09,7,a,4518
D09,7,b,4519
D09,7,c,4521
D09,7,d,4522
D09,7,e,4523
D09,7,f,4525
D09,7,g,4526
D09,7,h,4527
D09,8,a,4528
D09,8,b,4529
D09,8,c,4531
D09,8,d,4532
D09,8,e,4533
D09,8,f,4534
D09,8,g,4534
D09,8,h,4535
D09,9,a,4536
D09,9,b,4537
D09,9,c,4538
D09,9,d,4539
D09,9,e,4541
D09,9,f,4542
D09,9,g,4543
D09,9,h,4544
D09,10,a,4545
D09,10,b,4546
D09,10,c,4547
D09,10,d,4548
D09,10,e,4549
D09,10,f,4551
D09,10,g,4552
D09,10,h,4553
D09,11,a,4554
D09,11,b,4555
D09,11,c,4556
D09,11,d,4557
D09,11,e,4558
D09,11,f,4559
D09,11,g,4561
D09,11,h,4562
D09,12,a,4563
D09,12,b,4564
D09,12,c,4565
D09,12,d,4566
D09,12,e,4567
D09,12,f,4568
D09,12,g,4569
D09,12,h,4571
D08,1,a,3533
D08,1,b,3537
D08,1,c,3538
D08,1,d,3541
D08,1,e,3544
D08,1,f,3572
D08,1,g,3574
D08,1,h,3575
D08,2,a,3587
D08,2,b,3588
D08,2,c,3589
D08,2,d,3591
D08,2,e,3592
D08,2,f,3593
D08,2,g,3594
D08,2,h,3595
D08,3,a,3596
D08,3,b,3597
D08,3,c,3598
D08,3,d,3599
D08,3,e,3711
D08,3,f,3712
D08,3,g,3713
D08,3,h,3917
D08,4,a,3921
D08,4,b,3925
D08,4,c,3926
D08,4,d,3927
D08,4,e,3928
D08,4,f,3929
D08,4,g,3931
D08,4,h,3932
D08,5,a,3933
D08,5,b,3934
D08,5,c,3935
D08,5,d,3936
D08,5,e,3937
D08,5,f,3939
D08,5,g,3942
D08,5,h,3944
D08,6,a,3946
D08,6,b,3949
D08,6,c,3951
D08,6,d,3954
D08,6,e,3955
D08,6,f,3956
D08,6,g,3957
D08,6,h,3961
D08,7,a,3962
D08,7,b,3963
D08,7,c,3964
D08,7,d,3967
D08,7,e,3968
D08,7,f,3969
D08,7,g,3971
D08,7,h,3972
D08,8,a,3974
D08,8,b,3975
D08,8,c,3978
D08,8,d,3982
D08,8,e,3985
D08,8,f,3986
D08,8,g,3987
D08,8,h,3992
D08,9,a,4154
D08,9,b,4155
D08,9,c,4156
D08,9,d,4157
D08,9,e,4158
D08,9,f,4159
D08,9,g,4161
D08,9,h,4162
D08,10,a,4163
D08,10,b,4164
D08,10,c,4165
D08,10,d,4166
D08,10,e,4167
D08,10,f,4168
D08,10,g,4169
D08,10,h,4171
D08,11,a,4172
D08,11,b,4173
D08,11,c,4174
D08,11,d,4175
D08,11,e,4176
D08,11,f,4177
D08,11,g,4178
D08,11,h,4179
D08,12,a,4181
D08,12,b,4182
D08,12,c,4183
D08,12,d,4184
D08,12,e,4185
D08,12,f,4186
D08,12,g,4187
D08,12,h,4188
D07,1,a,2547
D07,1,b,2548
D07,1,c,2549
D07,1,d,2551
D07,1,e,2552
D07,1,f,2553
D07,1,g,2554
D07,1,h,2555
D07,2,a,2556
D07,2,b,2971
D07,2,c,2972
D07,2,d,2973
D07,2,e,2974
D07,2,f,2975
D07,2,g,2976
D07,2,h,2977
D07,3,a,2978
D07,3,b,2979
D07,3,c,2981
D07,3,d,2982
D07,3,e,2983
D07,3,f,2984
D07,3,g,2985
D07,3,h,2986
D07,4,a,2987
D07,4,b,2989
D07,4,c,2991
D07,4,d,2992
D07,4,e,2993
D07,4,f,2994
D07,4,g,3128
D07,4,h,3129
D07,5,a,3131
D07,5,b,3132
D07,5,c,3133
D07,5,d,3134
D07,5,e,3135
D07,5,f,3136
D07,5,g,3137
D07,5,h,3138
D07,6,a,3139
D07,6,b,3141
D07,6,c,3142
D07,6,d,3143
D07,6,e,3144
D07,6,f,3145
D07,6,g,3146
D07,6,h,3147
D07,7,a,3148
D07,7,b,3149
D07,7,c,3151
D07,7,d,3152
D07,7,e,3362
D07,7,f,3363
D07,7,g,3364
D07,7,h,3365
D07,8,a,3366
D07,8,b,3367
D07,8,c,3368
D07,8,d,3369
D07,8,e,3371
D07,8,f,3372
D07,8,g,3373
D07,8,h,3374
D07,9,a,3375
D07,9,b,3376
D07,9,c,3377
D07,9,d,3378
D07,9,e,3379
D07,9,f,3381
D07,9,g,3382
D07,9,h,3383
D07,10,a,3384
D07,10,b,3385
D07,10,c,3386
D07,10,d,3387
D07,10,e,3388
D07,10,f,3389
D07,10,g,3391
D07,10,h,3392
D07,11,a,3393
D07,11,b,3394
D07,11,c,3395
D07,11,d,3396
D07,11,e,3397
D07,11,f,3398
D07,11,g,3399
D07,11,h,3513
D07,12,a,3515
D07,12,b,3517
D07,12,c,3519
D07,12,d,3521
D07,12,e,3526
D07,12,f,3529
D07,12,g,3531
D07,12,h,3532
D06,1,a,1731
D06,1,b,1732
D06,1,c,1733
D06,1,d,1734
D06,1,e,1735
D06,1,f,1736
D06,1,g,1741
D06,1,h,1742
D06,2,a,1743
D06,2,b,1744
D06,2,c,1745
D06,2,d,1746
D06,2,e,1747
D06,2,f,1748
D06,2,g,1751
D06,2,h,1752
D06,3,a,1753
D06,3,b,1958
D06,3,c,1959
D06,3,d,1961
D06,3,e,1962
D06,3,f,1963
D06,3,g,1964
D06,3,h,1965
D06,4,a,1966
D06,4,b,1967
D06,4,c,1968
D06,4,d,1969
D06,4,e,1971
D06,4,f,1972
D06,4,g,1973
D06,4,h,1974
D06,5,a,1975
D06,5,b,1976
D06,5,c,1977
D06,5,d,1978
D06,5,e,1979
D06,5,f,1981
D06,5,g,1982
D06,5,h,1983
D06,6,a,1984
D06,6,b,1985
D06,6,c,1986
D06,6,d,1987
D06,6,e,1988
D06,6,f,1989
D06,6,g,1991
D06,6,h,1992
D06,7,a,1993
D06,7,b,1994
D06,7,c,1995
D06,7,d,1996
D06,7,e,1997
D06,7,f,1998
D06,7,g,1999
D06,7,h,2111
D06,8,a,2114
D06,8,b,2115
D06,8,c,2116
D06,8,d,2324
D06,8,e,2325
D06,8,f,2326
D06,8,g,2327
D06,8,h,2328
D06,9,a,2329
D06,9,b,2331
D06,9,c,2332
D06,9,d,2333
D06,9,e,2334
D06,9,f,2335
D06,9,g,2336
D06,9,h,2337
D06,10,a,2338
D06,10,b,2339
D06,10,c,2341
D06,10,d,2342
D06,10,e,2343
D06,10,f,2344
D06,10,g,2345
D06,10,h,2346
D06,11,a,2347
D06,11,b,2348
D06,11,c,2532
D06,11,d,2533
D06,11,e,2534
D06,11,f,2535
D06,11,g,2536
D06,11,h,2537
D06,12,a,2538
D06,12,b,2539
D06,12,c,2541
D06,12,d,2542
D06,12,e,2543
D06,12,f,2544
D06,12,g,2545
D06,12,h,2546
D05,1,a,1785
D05,1,b,1786
D05,1,c,1787
D05,1,d,1788
D05,1,e,1789
D05,1,f,1791
D05,1,g,1792
D05,1,h,1793
D05,2,a,1794
D05,2,b,1795
D05,2,c,1796
D05,2,d,1797
D05,2,e,1798
D05,2,f,1799
D05,2,g,2111
D05,2,h,2112
D05,3,a,2113
D05,3,b,2114
D05,3,c,2115
D05,3,d,2116
D05,3,e,2117
D05,3,f,2118
D05,3,g,2129
D05,3,h,2121
D05,4,a,2122
D05,4,b,2123
D05,4,c,2124
D05,4,d,2125
D05,4,e,2126
D05,4,f,2127
D05,4,g,2128
D05,4,h,2139
D05,5,a,2131
D05,5,b,2132
D05,5,c,2133
D05,5,d,2134
D05,5,e,2135
D05,5,f,2136
D05,5,g,2137
D05,5,h,2138
D05,6,a,2149
D05,6,b,2141
D05,6,c,2142
D05,6,d,2143
D05,6,e,2144
D05,6,f,2145
D05,6,g,2146
D05,6,h,2147
D05,7,a,2148
D05,7,b,2159
D05,7,c,2151
D05,7,d,2152
D05,7,e,2153
D05,7,f,2154
D05,7,g,2155
D05,7,h,2156
D05,8,a,2157
D05,8,b,2158
D05,8,c,2169
D05,8,d,2161
D05,8,e,2162
D05,8,f,2163
D05,8,g,2164
D05,8,h,2165
D05,9,a,2166
D05,9,b,2167
D05,9,c,2168
D05,9,d,2179
D05,9,e,2171
D05,9,f,2172
D05,9,g,2173
D05,9,h,2174
D05,10,a,2175
D05,10,b,2176
D05,10,c,2177
D05,10,d,2178
D05,10,e,2189
D05,10,f,2181
D05,10,g,2182
D05,10,h,2183
