new_column,new_row,new_plate,sjnf_plate,amp_success,old_column,old_well
1,B,dmc_1,D01,1,1,A
1,C,dmc_1,D01,1,4,A
1,D,dmc_1,D01,1,5,B
1,E,dmc_1,D01,1,5,C
1,F,dmc_1,D01,1,5,E
1,G,dmc_1,D01,1,5,F
1,H,dmc_1,D01,1,6,A
2,A,dmc_1,D01,1,6,B
2,B,dmc_1,D01,1,6,F
2,C,dmc_1,D01,1,6,G
2,D,dmc_1,D01,1,6,H
2,E,dmc_1,D01,1,7,F
2,F,dmc_1,D01,1,7,G
2,G,dmc_1,D01,1,8,G
2,H,dmc_1,D01,1,10,B
3,A,dmc_1,D01,1,11,A
3,B,dmc_1,D01,1,11,C
3,C,dmc_1,D01,1,11,D
3,D,dmc_1,D01,1,11,F
3,E,dmc_1,D01,1,12,A
3,F,dmc_1,D01,1,12,C
3,G,dmc_1,D01,1,12,D
3,H,dmc_1,D01,1,12,G
