new_column,new_row,new_plate,sjnf_plate,amp_success,old_column,old_well
1,B,dmc_2,D02,1,1,E
1,C,dmc_2,D02,1,1,F
1,D,dmc_2,D02,1,1,H
1,E,dmc_2,D02,1,2,B
1,F,dmc_2,D02,1,2,E
1,G,dmc_2,D02,1,2,F
1,H,dmc_2,D02,1,2,H
2,A,dmc_2,D02,1,3,B
2,B,dmc_2,D02,1,3,F
2,C,dmc_2,D02,1,3,G
2,D,dmc_2,D02,1,4,A
2,E,dmc_2,D02,1,4,B
2,F,dmc_2,D02,1,6,A
2,G,dmc_2,D02,1,6,E
2,H,dmc_2,D02,1,6,H
3,A,dmc_2,D02,1,7,E
3,B,dmc_2,D02,1,8,B
3,C,dmc_2,D02,1,8,F
3,D,dmc_2,D02,1,9,A
3,E,dmc_2,D02,1,9,B
3,F,dmc_2,D02,1,9,D
3,G,dmc_2,D02,1,9,E
3,H,dmc_2,D02,1,9,G
4,A,dmc_2,D02,1,9,H
4,B,dmc_2,D02,1,10,A
4,C,dmc_2,D02,1,10,C
4,D,dmc_2,D02,1,10,F
4,E,dmc_2,D02,1,10,G
4,F,dmc_2,D02,1,10,H
4,G,dmc_2,D02,1,11,A
4,H,dmc_2,D02,1,11,C
5,A,dmc_2,D02,1,11,D
5,B,dmc_2,D02,1,11,H
5,C,dmc_2,D02,1,12,A
5,D,dmc_2,D02,1,12,B
5,E,dmc_2,D02,1,12,C
5,F,dmc_2,D02,1,12,F
5,G,dmc_2,D03,1,1,A
5,H,dmc_2,D03,1,1,B
6,A,dmc_2,D03,1,1,E
6,B,dmc_2,D03,1,1,G
6,C,dmc_2,D03,1,2,F
6,D,dmc_2,D03,1,3,A
6,E,dmc_2,D03,1,3,D
6,F,dmc_2,D03,1,3,E
6,G,dmc_2,D03,1,3,H
6,H,dmc_2,D03,1,4,B
7,A,dmc_2,D03,1,4,C
7,B,dmc_2,D03,1,4,E
7,C,dmc_2,D03,1,7,C
7,D,dmc_2,D03,1,7,D
7,E,dmc_2,D03,1,7,F
7,F,dmc_2,D03,1,7,G
7,G,dmc_2,D03,1,7,H
7,H,dmc_2,D03,1,9,C
8,A,dmc_2,D03,1,9,D
8,B,dmc_2,D03,1,9,F
8,C,dmc_2,D03,1,9,H
8,D,dmc_2,D03,1,10,B
8,E,dmc_2,D03,1,10,D
8,F,dmc_2,D03,1,10,E
8,G,dmc_2,D03,1,10,H
8,H,dmc_2,D03,1,11,A
9,A,dmc_2,D03,1,11,C
9,B,dmc_2,D03,1,11,F
9,C,dmc_2,D03,1,11,G
9,D,dmc_2,D03,1,12,D
9,E,dmc_2,D03,1,12,E
9,F,dmc_2,D04,1,1,D
9,G,dmc_2,D04,1,1,G
9,H,dmc_2,D04,1,1,H
10,A,dmc_2,D04,1,2,B
10,B,dmc_2,D04,1,2,C
10,C,dmc_2,D04,1,2,D
10,D,dmc_2,D04,1,2,E
10,E,dmc_2,D04,1,2,F
10,F,dmc_2,D04,1,3,B
10,G,dmc_2,D04,1,3,C
10,H,dmc_2,D04,1,3,D
11,A,dmc_2,D04,1,3,F
11,B,dmc_2,D04,1,4,C
11,C,dmc_2,D04,1,4,D
11,D,dmc_2,D04,1,4,E
11,E,dmc_2,D04,1,4,F
11,F,dmc_2,D04,1,4,H
11,G,dmc_2,D04,1,5,A
11,H,dmc_2,D04,1,7,E
12,A,dmc_2,D04,1,7,F
12,B,dmc_2,D04,1,7,G
12,C,dmc_2,D04,1,8,H
12,D,dmc_2,D04,1,9,D
12,E,dmc_2,D04,1,9,E
12,F,dmc_2,D04,1,10,A
12,G,dmc_2,D04,1,10,C
12,H,dmc_2,D04,1,10,D
1,A,dmc_3,D04,1,10,E
1,B,dmc_3,D04,1,11,B
1,C,dmc_3,D04,1,12,A
1,D,dmc_3,D04,1,12,B
1,E,dmc_3,D04,1,12,C
1,F,dmc_3,D04,1,12,E
1,G,dmc_3,D05,1,2,A
1,H,dmc_3,D05,1,2,B
2,A,dmc_3,D05,1,2,H
2,B,dmc_3,D05,1,3,A
2,C,dmc_3,D05,1,3,C
2,D,dmc_3,D05,1,4,A
2,E,dmc_3,D05,1,4,C
2,F,dmc_3,D05,1,4,D
2,G,dmc_3,D05,1,4,F
2,H,dmc_3,D05,1,4,G
3,A,dmc_3,D05,1,4,H
3,B,dmc_3,D05,1,5,D
3,C,dmc_3,D05,1,6,C
3,D,dmc_3,D05,1,7,G
3,E,dmc_3,D05,1,7,H
3,F,dmc_3,D05,1,9,C
3,G,dmc_3,D05,1,9,H
3,H,dmc_3,D05,1,10,B
4,A,dmc_3,D05,1,10,F
4,B,dmc_3,D05,1,11,B
4,C,dmc_3,D05,1,11,D
4,D,dmc_3,D05,1,11,E
4,E,dmc_3,D05,1,11,G
4,F,dmc_3,D05,1,12,A
4,G,dmc_3,D05,1,12,B
4,H,dmc_3,D05,1,12,C
5,A,dmc_3,D05,1,12,D
5,B,dmc_3,D05,1,12,E
5,C,dmc_3,D05,1,12,F
5,D,dmc_3,D05,1,12,G
