site,tree_id,time_date,direction,replicate,rna,dna
MB,1039,2022-08-04T11:30:00Z,North,1,5201,5301
MB,1039,2022-08-04T11:30:00Z,North,2,5202,5302
MB,1039,2022-08-04T11:30:00Z,North,3,5203,5303
MB,1039,2022-08-04T11:30:00Z,North,4,5204,5304
MB,1039,2022-08-04T11:30:00Z,North,Control,5205,5305
MB,1039,2022-08-04T11:30:00Z,East,1,5094,5194
MB,1039,2022-08-04T11:30:00Z,East,2,5095,5195
MB,1039,2022-08-04T11:30:00Z,East,3,5096,5196
MB,1039,2022-08-04T11:30:00Z,East,4,5097,5197
MB,1039,2022-08-04T11:30:00Z,East,5,5098,5198
MB,1039,2022-08-04T11:30:00Z,East,Control,5099,5199
MB,1039,2022-08-04T11:30:00Z,South,1,5087,5187
MB,1039,2022-08-04T11:30:00Z,South,2,5088,5188
MB,1039,2022-08-04T11:30:00Z,South,3,5089,5189
MB,1039,2022-08-04T11:30:00Z,South,4,5091,5191
MB,1039,2022-08-04T11:30:00Z,South,5,5092,5192
MB,1039,2022-08-04T11:30:00Z,South,Control,5093,5193
MB,1039,2022-08-04T11:30:00Z,West,1,5206,5306
MB,1039,2022-08-04T11:30:00Z,West,2,5207,5307
MB,1039,2022-08-04T11:30:00Z,West,3,5208,5308
MB,1039,2022-08-04T11:30:00Z,West,4,5209,5309
MB,1039,2022-08-04T11:30:00Z,West,5,5211,5311
MB,1039,2022-08-04T11:30:00Z,West,Control,5212,5312
MB,1018,2022-08-04T11:00:00Z,North,1,5081,5175
MB,1018,2022-08-04T11:00:00Z,North,2,5075,5176
MB,1018,2022-08-04T11:00:00Z,North,3,5076,5177
MB,1018,2022-08-04T11:00:00Z,North,4,5077,5178
MB,1018,2022-08-04T11:00:00Z,North,5,5078,5179
MB,1018,2022-08-04T11:00:00Z,North,Control,5079,5181
MB,1018,2022-08-04T11:00:00Z,East,1,5068,5168
MB,1018,2022-08-04T11:00:00Z,East,2,5069,5169
MB,1018,2022-08-04T11:00:00Z,East,3,5071,5171
MB,1018,2022-08-04T11:00:00Z,East,4,5072,5172
MB,1018,2022-08-04T11:00:00Z,East,5,5073,5173
MB,1018,2022-08-04T11:00:00Z,East,Control,5074,5174
MB,1018,2022-08-04T11:00:00Z,South,1,5062,5162
MB,1018,2022-08-04T11:00:00Z,South,2,5063,5163
MB,1018,2022-08-04T11:00:00Z,South,3,5064,5164
MB,1018,2022-08-04T11:00:00Z,South,4,5065,5165
MB,1018,2022-08-04T11:00:00Z,South,5,5066,5166
MB,1018,2022-08-04T11:00:00Z,South,Control,5067,5167
MB,1018,2022-08-04T11:00:00Z,West,1,5082,5182
MB,1018,2022-08-04T11:00:00Z,West,2,5083,5183
MB,1018,2022-08-04T11:00:00Z,West,3,5084,5184
MB,1018,2022-08-04T11:00:00Z,West,4,5085,5185
MB,1018,2022-08-04T11:00:00Z,West,Control,5086,5186
MB,1070,2022-08-04T10:30:00Z,North,1,5049,5149
MB,1070,2022-08-04T10:30:00Z,North,2,5051,5151
MB,1070,2022-08-04T10:30:00Z,North,3,5052,5152
MB,1070,2022-08-04T10:30:00Z,North,4,5053,5153
MB,1070,2022-08-04T10:30:00Z,North,5,5054,5154
MB,1070,2022-08-04T10:30:00Z,North,Control,5055,5155
MB,1070,2022-08-04T10:30:00Z,East,1,5043,5143
MB,1070,2022-08-04T10:30:00Z,East,2,5044,5144
MB,1070,2022-08-04T10:30:00Z,East,3,5045,5145
MB,1070,2022-08-04T10:30:00Z,East,4,5046,5146
MB,1070,2022-08-04T10:30:00Z,East,5,5047,5147
MB,1070,2022-08-04T10:30:00Z,East,Control,5048,5148
MB,1070,2022-08-04T10:30:00Z,South,1,5036,5136
MB,1070,2022-08-04T10:30:00Z,South,2,5037,5137
MB,1070,2022-08-04T10:30:00Z,South,3,5038,5138
MB,1070,2022-08-04T10:30:00Z,South,4,5039,5139
MB,1070,2022-08-04T10:30:00Z,South,5,5041,5141
MB,1070,2022-08-04T10:30:00Z,South,Control,5042,5142
MB,1070,2022-08-04T10:30:00Z,West,1,5056,5156
MB,1070,2022-08-04T10:30:00Z,West,2,5057,5157
MB,1070,2022-08-04T10:30:00Z,West,3,5058,5158
MB,1070,2022-08-04T10:30:00Z,West,4,5059,5159
MB,1070,2022-08-04T10:30:00Z,West,Control,5061,5161
MB,1037,2022-08-04T10:10:00Z,North,1,5024,5124
MB,1037,2022-08-04T10:10:00Z,North,2,5025,5125
MB,1037,2022-08-04T10:10:00Z,North,3,5026,5126
MB,1037,2022-08-04T10:10:00Z,North,4,5027,5127
MB,1037,2022-08-04T10:10:00Z,North,5,5028,5128
MB,1037,2022-08-04T10:10:00Z,North,Control,5029,5129
MB,1037,2022-08-04T10:10:00Z,East,1,5017,5117
MB,1037,2022-08-04T10:10:00Z,East,2,5018,5118
MB,1037,2022-08-04T10:10:00Z,East,3,5019,5119
MB,1037,2022-08-04T10:10:00Z,East,4,5021,5121
MB,1037,2022-08-04T10:10:00Z,East,5,5022,5122
MB,1037,2022-08-04T10:10:00Z,East,Control,5023,5123
MB,1037,2022-08-04T10:10:00Z,South,1,5011,5111
MB,1037,2022-08-04T10:10:00Z,South,2,5012,5112
MB,1037,2022-08-04T10:10:00Z,South,3,5013,5113
MB,1037,2022-08-04T10:10:00Z,South,4,5014,5114
MB,1037,2022-08-04T10:10:00Z,South,5,5015,5115
MB,1037,2022-08-04T10:10:00Z,South,Control,5016,5116
MB,1037,2022-08-04T10:10:00Z,West,1,5031,5131
MB,1037,2022-08-04T10:10:00Z,West,2,5032,5132
MB,1037,2022-08-04T10:10:00Z,West,3,5033,5133
MB,1037,2022-08-04T10:10:00Z,West,4,5034,5134
MB,1037,2022-08-04T10:10:00Z,West,Control,5035,5135
MA,744,2022-08-04T07:10:00Z,North,1,4837,4937
MA,744,2022-08-04T07:10:00Z,North,2,4838,4938
MA,744,2022-08-04T07:10:00Z,North,3,4839,4939
MA,744,2022-08-04T07:10:00Z,North,4,4841,4941
MA,744,2022-08-04T07:10:00Z,North,5,4842,4942
MA,744,2022-08-04T07:10:00Z,North,Control,4843,4943
MA,744,2022-08-04T07:10:00Z,East,1,4831,4931
MA,744,2022-08-04T07:10:00Z,East,2,4832,4932
MA,744,2022-08-04T07:10:00Z,East,3,4833,4933
MA,744,2022-08-04T07:10:00Z,East,4,4834,4934
MA,744,2022-08-04T07:10:00Z,East,5,4835,4935
MA,744,2022-08-04T07:10:00Z,East,Control,4836,4936
MA,744,2022-08-04T07:10:00Z,South,1,4824,4924
MA,744,2022-08-04T07:10:00Z,South,2,4825,4925
MA,744,2022-08-04T07:10:00Z,South,3,4826,4926
MA,744,2022-08-04T07:10:00Z,South,4,4827,4927
MA,744,2022-08-04T07:10:00Z,South,5,4828,4928
MA,744,2022-08-04T07:10:00Z,South,Control,4829,4929
MA,744,2022-08-04T07:10:00Z,West,1,4844,4944
MA,744,2022-08-04T07:10:00Z,West,2,4845,4945
MA,744,2022-08-04T07:10:00Z,West,3,4846,4946
MA,744,2022-08-04T07:10:00Z,West,4,4847,4947
MA,744,2022-08-04T07:10:00Z,West,Control,4848,4948
MA,739,2022-08-04T07:10:00Z,North,1,4812,4912
MA,739,2022-08-04T07:10:00Z,North,2,4813,4913
MA,739,2022-08-04T07:10:00Z,North,3,4814,4914
MA,739,2022-08-04T07:10:00Z,North,4,4815,4915
MA,739,2022-08-04T07:10:00Z,North,5,4816,4916
MA,739,2022-08-04T07:10:00Z,North,Control,4817,4917
MA,739,2022-08-04T07:10:00Z,East,1,4695,4795
MA,739,2022-08-04T07:10:00Z,East,2,4696,4796
MA,739,2022-08-04T07:10:00Z,East,3,4697,4797
MA,739,2022-08-04T07:10:00Z,East,4,4698,4798
MA,739,2022-08-04T07:10:00Z,East,5,4699,4799
MA,739,2022-08-04T07:10:00Z,East,Control,4811,4911
MA,739,2022-08-04T07:10:00Z,South,1,4688,4788
MA,739,2022-08-04T07:10:00Z,South,2,4689,4789
MA,739,2022-08-04T07:10:00Z,South,3,4691,4791
MA,739,2022-08-04T07:10:00Z,South,4,4692,4792
MA,739,2022-08-04T07:10:00Z,South,5,4693,4793
MA,739,2022-08-04T07:10:00Z,South,Control,4694,4794
MA,739,2022-08-04T07:10:00Z,West,1,4818,4918
MA,739,2022-08-04T07:10:00Z,West,2,4819,4919
MA,739,2022-08-04T07:10:00Z,West,3,4821,4921
MA,739,2022-08-04T07:10:00Z,West,4,4822,4922
MA,739,2022-08-04T07:10:00Z,West,Control,4823,4923
MB,1013,2022-08-04T09:40:00Z,North,1,4888,4988
MB,1013,2022-08-04T09:40:00Z,North,2,4889,4989
MB,1013,2022-08-04T09:40:00Z,North,3,4891,4991
MB,1013,2022-08-04T09:40:00Z,North,4,4992,5092
MB,1013,2022-08-04T09:40:00Z,North,Control,4993,5093
