new_column,new_row,new_plate,sjnf_plate,old_column,old_well,
1,A,plate_1,1,1,A,sjnf_p_1_c_1_r_A
1,B,plate_1,1,1,C,sjnf_p_1_c_1_r_C
1,C,plate_1,1,1,D,sjnf_p_1_c_1_r_D
1,D,plate_1,1,1,E,sjnf_p_1_c_1_r_E
1,E,plate_1,1,1,F,sjnf_p_1_c_1_r_F
1,F,plate_1,1,1,H,sjnf_p_1_c_1_r_H
1,G,plate_1,1,2,A,sjnf_p_1_c_2_r_A
1,H,plate_1,1,2,B,sjnf_p_1_c_2_r_B
2,A,plate_1,1,2,D,sjnf_p_1_c_2_r_D
2,B,plate_1,1,2,E,sjnf_p_1_c_2_r_E
2,C,plate_1,1,2,F,sjnf_p_1_c_2_r_F
2,D,plate_1,1,2,G,sjnf_p_1_c_2_r_G
2,E,plate_1,1,3,D,sjnf_p_1_c_3_r_D
2,F,plate_1,1,3,E,sjnf_p_1_c_3_r_E
2,G,plate_1,1,3,F,sjnf_p_1_c_3_r_F
2,H,plate_1,1,3,G,sjnf_p_1_c_3_r_G
3,A,plate_1,1,3,H,sjnf_p_1_c_3_r_H
3,B,plate_1,1,4,A,sjnf_p_1_c_4_r_A
3,C,plate_1,1,4,C,sjnf_p_1_c_4_r_C
3,D,plate_1,1,4,D,sjnf_p_1_c_4_r_D
3,E,plate_1,1,4,E,sjnf_p_1_c_4_r_E
3,F,plate_1,1,4,F,sjnf_p_1_c_4_r_F
3,G,plate_1,1,4,G,sjnf_p_1_c_4_r_G
3,H,plate_1,1,4,H,sjnf_p_1_c_4_r_H
4,A,plate_1,1,5,A,sjnf_p_1_c_5_r_A
4,B,plate_1,1,5,B,sjnf_p_1_c_5_r_B
4,C,plate_1,1,5,C,sjnf_p_1_c_5_r_C
4,D,plate_1,1,5,E,sjnf_p_1_c_5_r_E
4,E,plate_1,1,5,F,sjnf_p_1_c_5_r_F
4,F,plate_1,1,5,G,sjnf_p_1_c_5_r_G
4,G,plate_1,1,6,A,sjnf_p_1_c_6_r_A
4,H,plate_1,1,6,B,sjnf_p_1_c_6_r_B
5,A,plate_1,1,6,E,sjnf_p_1_c_6_r_E
5,B,plate_1,1,6,F,sjnf_p_1_c_6_r_F
5,C,plate_1,1,6,G,sjnf_p_1_c_6_r_G
5,D,plate_1,1,7,A,sjnf_p_1_c_7_r_A
5,E,plate_1,1,7,E,sjnf_p_1_c_7_r_E
5,F,plate_1,1,7,F,sjnf_p_1_c_7_r_F
5,G,plate_1,1,7,G,sjnf_p_1_c_7_r_G
5,H,plate_1,1,8,A,sjnf_p_1_c_8_r_A
6,A,plate_1,1,8,B,sjnf_p_1_c_8_r_B
6,B,plate_1,1,8,D,sjnf_p_1_c_8_r_D
6,C,plate_1,1,8,E,sjnf_p_1_c_8_r_E
6,D,plate_1,1,9,A,sjnf_p_1_c_9_r_A
6,E,plate_1,1,9,B,sjnf_p_1_c_9_r_B
6,F,plate_1,1,9,C,sjnf_p_1_c_9_r_C
6,G,plate_1,1,9,D,sjnf_p_1_c_9_r_D
6,H,plate_1,1,9,F,sjnf_p_1_c_9_r_F
7,A,plate_1,1,9,G,sjnf_p_1_c_9_r_G
7,B,plate_1,1,10,A,sjnf_p_1_c_10_r_A
7,C,plate_1,1,10,B,sjnf_p_1_c_10_r_B
7,D,plate_1,1,10,C,sjnf_p_1_c_10_r_C
7,E,plate_1,1,10,D,sjnf_p_1_c_10_r_D
7,F,plate_1,1,10,E,sjnf_p_1_c_10_r_E
7,G,plate_1,1,10,F,sjnf_p_1_c_10_r_F
7,H,plate_1,1,11,A,sjnf_p_1_c_11_r_A
8,A,plate_1,1,11,B,sjnf_p_1_c_11_r_B
8,B,plate_1,1,11,C,sjnf_p_1_c_11_r_C
8,C,plate_1,1,11,D,sjnf_p_1_c_11_r_D
8,D,plate_1,1,11,E,sjnf_p_1_c_11_r_E
8,E,plate_1,1,11,F,sjnf_p_1_c_11_r_F
8,F,plate_1,1,12,B,sjnf_p_1_c_12_r_B
8,G,plate_1,1,12,E,sjnf_p_1_c_12_r_E
8,H,plate_1,1,12,F,sjnf_p_1_c_12_r_F
9,A,plate_1,6,1,B,sjnf_p_6_c_1_r_B
9,B,plate_1,6,1,H,sjnf_p_6_c_1_r_H
9,C,plate_1,6,2,F,sjnf_p_6_c_2_r_F
9,D,plate_1,6,3,A,sjnf_p_6_c_3_r_A
9,E,plate_1,6,3,C,sjnf_p_6_c_3_r_C
9,F,plate_1,6,3,D,sjnf_p_6_c_3_r_D
9,G,plate_1,6,3,G,sjnf_p_6_c_3_r_G
9,H,plate_1,6,4,A,sjnf_p_6_c_4_r_A
10,A,plate_1,6,4,B,sjnf_p_6_c_4_r_B
10,B,plate_1,6,4,C,sjnf_p_6_c_4_r_C
10,C,plate_1,6,4,F,sjnf_p_6_c_4_r_F
10,D,plate_1,6,4,G,sjnf_p_6_c_4_r_G
10,E,plate_1,6,5,B,sjnf_p_6_c_5_r_B
10,F,plate_1,6,5,D,sjnf_p_6_c_5_r_D
10,G,plate_1,6,5,G,sjnf_p_6_c_5_r_G
10,H,plate_1,6,6,C,sjnf_p_6_c_6_r_C
11,A,plate_1,6,6,E,sjnf_p_6_c_6_r_E
11,B,plate_1,6,6,F,sjnf_p_6_c_6_r_F
11,C,plate_1,6,7,B,sjnf_p_6_c_7_r_B
11,D,plate_1,6,7,C,sjnf_p_6_c_7_r_C
11,E,plate_1,6,7,D,sjnf_p_6_c_7_r_D
11,F,plate_1,6,7,E,sjnf_p_6_c_7_r_E
11,G,plate_1,6,7,F,sjnf_p_6_c_7_r_F
11,H,plate_1,6,8,C,sjnf_p_6_c_8_r_C
12,A,plate_1,6,8,D,sjnf_p_6_c_8_r_D
12,B,plate_1,6,9,C,sjnf_p_6_c_9_r_C
12,C,plate_1,6,9,D,sjnf_p_6_c_9_r_D
12,D,plate_1,6,9,E,sjnf_p_6_c_9_r_E
12,E,plate_1,6,9,F,sjnf_p_6_c_9_r_F
12,F,plate_1,6,9,G,sjnf_p_6_c_9_r_G
12,G,plate_1,6,10,B,sjnf_p_6_c_10_r_B
12,H,plate_1,6,10,E,sjnf_p_6_c_10_r_E
1,A,plate_2,6,10,G,sjnf_p_6_c_10_r_G
1,B,plate_2,6,11,A,sjnf_p_6_c_11_r_A
1,C,plate_2,6,11,B,sjnf_p_6_c_11_r_B
1,D,plate_2,6,11,E,sjnf_p_6_c_11_r_E
1,E,plate_2,6,12,A,sjnf_p_6_c_12_r_A
1,F,plate_2,6,12,B,sjnf_p_6_c_12_r_B
1,G,plate_2,6,12,D,sjnf_p_6_c_12_r_D
1,H,plate_2,6,12,F,sjnf_p_6_c_12_r_F
2,A,plate_2,3,1,B,sjnf_p_3_c_1_r_B
2,B,plate_2,3,1,C,sjnf_p_3_c_1_r_C
2,C,plate_2,3,1,D,sjnf_p_3_c_1_r_D
2,D,plate_2,3,1,E,sjnf_p_3_c_1_r_E
2,E,plate_2,3,1,F,sjnf_p_3_c_1_r_F
2,F,plate_2,3,1,G,sjnf_p_3_c_1_r_G
2,G,plate_2,3,2,A,sjnf_p_3_c_2_r_A
2,H,plate_2,3,2,E,sjnf_p_3_c_2_r_E
3,A,plate_2,3,2,H,sjnf_p_3_c_2_r_H
3,B,plate_2,3,3,B,sjnf_p_3_c_3_r_B
3,C,plate_2,3,3,C,sjnf_p_3_c_3_r_C
3,D,plate_2,3,3,D,sjnf_p_3_c_3_r_D
3,E,plate_2,3,3,E,sjnf_p_3_c_3_r_E
3,F,plate_2,3,3,G,sjnf_p_3_c_3_r_G
3,G,plate_2,3,3,H,sjnf_p_3_c_3_r_H
3,H,plate_2,3,4,A,sjnf_p_3_c_4_r_A
4,A,plate_2,3,4,B,sjnf_p_3_c_4_r_B
4,B,plate_2,3,4,C,sjnf_p_3_c_4_r_C
4,C,plate_2,3,4,G,sjnf_p_3_c_4_r_G
4,D,plate_2,3,4,H,sjnf_p_3_c_4_r_H
4,E,plate_2,3,5,A,sjnf_p_3_c_5_r_A
4,F,plate_2,3,5,B,sjnf_p_3_c_5_r_B
4,G,plate_2,3,5,C,sjnf_p_3_c_5_r_C
4,H,plate_2,3,5,D,sjnf_p_3_c_5_r_D
5,A,plate_2,3,5,E,sjnf_p_3_c_5_r_E
5,B,plate_2,3,5,G,sjnf_p_3_c_5_r_G
5,C,plate_2,3,5,H,sjnf_p_3_c_5_r_H
5,D,plate_2,3,6,B,sjnf_p_3_c_6_r_B
5,E,plate_2,3,6,C,sjnf_p_3_c_6_r_C
5,F,plate_2,3,6,E,sjnf_p_3_c_6_r_E
5,G,plate_2,3,6,H,sjnf_p_3_c_6_r_H
5,H,plate_2,3,7,A,sjnf_p_3_c_7_r_A
6,A,plate_2,3,7,B,sjnf_p_3_c_7_r_B
6,B,plate_2,3,7,C,sjnf_p_3_c_7_r_C
6,C,plate_2,3,7,D,sjnf_p_3_c_7_r_D
6,D,plate_2,3,7,E,sjnf_p_3_c_7_r_E
6,E,plate_2,3,7,F,sjnf_p_3_c_7_r_F
6,F,plate_2,3,7,G,sjnf_p_3_c_7_r_G
6,G,plate_2,3,7,H,sjnf_p_3_c_7_r_H
6,H,plate_2,3,8,D,sjnf_p_3_c_8_r_D
7,A,plate_2,3,8,G,sjnf_p_3_c_8_r_G
7,B,plate_2,3,8,H,sjnf_p_3_c_8_r_H
7,C,plate_2,3,9,B,sjnf_p_3_c_9_r_B
7,D,plate_2,3,9,C,sjnf_p_3_c_9_r_C
7,E,plate_2,3,9,D,sjnf_p_3_c_9_r_D
7,F,plate_2,3,9,F,sjnf_p_3_c_9_r_F
7,G,plate_2,3,9,G,sjnf_p_3_c_9_r_G
7,H,plate_2,3,9,H,sjnf_p_3_c_9_r_H
8,A,plate_2,3,10,A,sjnf_p_3_c_10_r_A
8,B,plate_2,3,10,C,sjnf_p_3_c_10_r_C
