dna,tree_id,direction,replicate,plot,elevation
4752,779,North,1,A,M
4753,779,North,2,A,M
4754,779,North,3,A,M
4755,779,North,4,A,M
4756,779,North,6,A,M
4745,779,East,1,A,M
4746,779,East,2,A,M
4747,779,East,3,A,M
4748,779,East,4,A,M
4749,779,East,5,A,M
4751,779,East,6,A,M
4738,779,South,1,A,M
4739,779,South,2,A,M
4741,779,South,3,A,M
4742,779,South,4,A,M
4743,779,South,5,A,M
4744,779,South,6,A,M
4757,779,West,1,A,M
4758,779,West,2,A,M
4759,779,West,3,A,M
4761,779,West,4,A,M
4762,779,West,6,A,M
4597,T8,North,1,C,M
4598,T8,North,2,C,M
4599,T8,North,3,C,M
4711,T8,North,4,C,M
4712,T8,North,6,C,M
4584,T8,East,1,C,M
4585,T8,East,2,C,M
4586,T8,East,3,C,M
4587,T8,East,4,C,M
4588,T8,East,5,C,M
4589,T8,East,6,C,M
4577,T8,South,1,C,M
4578,T8,South,2,C,M
4579,T8,South,3,C,M
4581,T8,South,4,C,M
4582,T8,South,5,C,M
4583,T8,South,6,C,M
4591,T8,West,1,C,M
4592,T8,West,2,C,M
4593,T8,West,3,C,M
4594,T8,West,4,C,M
4595,T8,West,5,C,M
4596,T8,West,6,C,M
4515,T1,North,1,C,M
4516,T1,North,2,C,M
4517,T1,North,3,C,M
4518,T1,North,4,C,M
4519,T1,North,6,C,M
4398,T1,East,1,C,M
4511,T1,East,3,C,M
4512,T1,East,4,C,M
4513,T1,East,5,C,M
4514,T1,East,6,C,M
4393,T1,South,2,C,M
4394,T1,South,3,C,M
4395,T1,South,4,C,M
4396,T1,South,5,C,M
4397,T1,South,6,C,M
4521,T1,West,1,C,M
4522,T1,West,2,C,M
4523,T1,West,3,C,M
4534,T1,West,4,C,M
4525,T1,West,6,C,M
4565,T4,North,1,C,M
4566,T4,North,2,C,M
4567,T4,North,3,C,M
4568,T4,North,4,C,M
4569,T4,North,5,C,M
4571,T4,North,6,C,M
4558,T4,East,1,C,M
4559,T4,East,2,C,M
4561,T4,East,3,C,M
4562,T4,East,4,C,M
4563,T4,East,5,C,M
4564,T4,East,6,C,M
4552,T4,South,1,C,M
4553,T4,South,2,C,M
4554,T4,South,3,C,M
4555,T4,South,4,C,M
4556,T4,South,5,C,M
4557,T4,South,6,C,M
4572,T4,West,1,C,M
4573,T4,West,2,C,M
4574,T4,West,3,C,M
4575,T4,West,4,C,M
4576,T4,West,6,C,M
4539,623,North,1,C,M
4541,623,North,2,C,M
4542,623,North,3,C,M
4543,623,North,4,C,M
4544,623,North,6,C,M
4533,623,East,1,C,M
4534,623,East,2,C,M
4535,623,East,3,C,M
4536,623,East,4,C,M
4537,623,East,5,C,M
4538,623,East,6,C,M
4526,623,South,1,C,M
4527,623,South,2,C,M
4528,623,South,3,C,M
4529,623,South,4,C,M
4531,623,South,5,C,M
4532,623,South,6,C,M
4545,623,West,1,C,M
4546,623,West,2,C,M
4547,623,West,3,C,M
4548,623,West,4,C,M
4549,623,West,5,C,M
4551,623,West,6,C,M
4193,1425,North,1,D,M
4194,1425,North,2,D,M
4195,1425,North,3,D,M
4196,1425,North,4,D,M
4197,1425,North,6,D,M
4186,1425,East,1,D,M
4187,1425,East,2,D,M
4188,1425,East,3,D,M
4189,1425,East,4,D,M
4191,1425,East,5,D,M
4192,1425,East,6,D,M
4179,1425,South,1,D,M
4181,1425,South,2,D,M
4182,1425,South,3,D,M
4183,1425,South,4,D,M
4184,1425,South,5,D,M
4185,1425,South,6,D,M
4198,1425,West,1,D,M
4199,1425,West,2,D,M
4312,1425,West,4,D,M
4313,1425,West,5,D,M
4314,1425,West,6,D,M
4167,1448,North,1,D,M
4168,1448,North,2,D,M
4169,1448,North,3,D,M
4171,1448,North,4,D,M
4172,1448,North,6,D,M
4161,1448,East,1,D,M
4162,1448,East,2,D,M
4163,1448,East,3,D,M
4164,1448,East,4,D,M
4165,1448,East,5,D,M
4166,1448,East,6,D,M
4154,1448,South,1,D,M
4155,1448,South,2,D,M
4156,1448,South,3,D,M
4157,1448,South,4,D,M
4158,1448,South,5,D,M
4159,1448,South,6,D,M
4173,1448,West,1,D,M
4174,1448,West,2,D,M
4175,1448,West,3,D,M
4176,1448,West,4,D,M
4177,1448,West,5,D,M
4178,1448,West,6,D,M
4327,1411,North,1,D,M
4328,1411,North,2,D,M
4329,1411,North,3,D,M
4331,1411,North,4,D,M
4332,1411,North,5,D,M
4333,1411,North,6,D,M
4322,1411,East,1,D,M
4323,1411,East,2,D,M
4324,1411,East,3,D,M
4325,1411,East,4,D,M
4326,1411,East,6,D,M
4315,1411,South,1,D,M
4316,1411,South,2,D,M
4317,1411,South,3,D,M
4318,1411,South,4,D,M
4319,1411,South,5,D,M
4321,1411,South,6,D,M
4334,1411,West,1,D,M
4335,1411,West,2,D,M
4336,1411,West,3,D,M
4338,1411,West,5,D,M
4339,1411,West,6,D,M
3987,T1,North,1,E,M
3992,T1,North,6,E,M
3974,T1,East,1,E,M
3975,T1,East,2,E,M
3978,T1,East,5,E,M
3968,T1,South,1,E,M
3969,T1,South,2,E,M
3971,T1,South,3,E,M
3972,T1,South,4,E,M
3982,T1,West,2,E,M
3985,T1,West,5,E,M
3986,T1,West,6,E,M
3956,T5,North,1,E,M
3957,T5,North,2,E,M
3961,T5,North,5,E,M
3962,T5,North,6,E,M
3949,T5,East,1,E,M
3951,T5,East,2,E,M
3954,T5,East,5,E,M
3955,T5,East,6,E,M
3944,T5,South,2,E,M
3946,T5,South,4,E,M
3963,T5,West,1,E,M
3964,T5,West,2,E,M
3967,T5,West,6,E,M
3931,T3,North,1,E,M
3932,T3,North,2,E,M
3933,T3,North,3,E,M
3934,T3,North,4,E,M
3935,T3,North,5,E,M
3936,T3,North,6,E,M
3925,T3,East,2,E,M
3926,T3,East,3,E,M
3927,T3,East,4,E,M
3928,T3,East,5,E,M
3929,T3,East,6,E,M
3917,T3,South,1,E,M
3921,T3,South,4,E,M
3937,T3,West,1,E,M
3939,T3,West,3,E,M
3942,T3,West,6,E,M
3533,2539,North,1,D,H
3537,2539,North,5,D,H
3538,2539,North,6,D,H
3529,2539,East,3,D,H
3531,2539,East,4,D,H
3532,2539,East,6,D,H
3521,2539,South,1,D,H
3526,2539,South,6,D,H
