year,month,stand,species,elevation,plot,old_tag,new_tag,predawn,midday,potdiff,year.month
2014,july,POTRHA,POTR,H,A,H1L,2319,-0.475,-1.6,-1.125,2014.july
2014,july,POTRHA,POTR,H,A,T1,2314,-0.4,-1.5,-1.1,2014.july
2014,july,POTRHA,POTR,H,A,T3,2331,-0.45,-1.65,-1.2,2014.july
2014,july,POTRHB,POTR,H,B,T1,2127,-0.525,-1.525,-1,2014.july
2014,july,POTRHB,POTR,H,B,T3,2109,-0.4,-1.5,-1.1,2014.july
2014,july,POTRHB,POTR,H,B,T5,2135,-0.4,-1.45,-1.05,2014.july
2014,july,POTRHC,POTR,H,C,T1,2738,-0.45,-1.35,-0.9,2014.july
2014,july,POTRHC,POTR,H,C,T10,T10,-0.5,-1.4,-0.9,2014.july
2014,july,POTRHC,POTR,H,C,T13,2782,-0.4,-1.2,-0.8,2014.july
2014,july,POTRHC,POTR,H,C,T5,T5,NA,NA,-0.87,2014.july
2014,july,POTRHD,POTR,H,D,T1,2551,-0.525,-1.35,-0.825,2014.july
2014,july,POTRHD,POTR,H,D,T3,2539,-0.5,-1.7,-1.2,2014.july
2014,july,POTRHD,POTR,H,D,T6,2572,-0.525,-1.5,-0.975,2014.july
2014,july,POTRHE,POTR,H,E,T1,T1,-0.45,-1.2,-0.75,2014.july
2014,july,POTRHE,POTR,H,E,T4,2441,-0.525,-1.1,-0.575,2014.july
2014,july,POTRHE,POTR,H,E,T6,2398,NA,NA,-0.663,2014.july
2014,july,POTRLA,POTR,L,A,T1,T1,-0.75,-1.65,-0.9,2014.july
2014,july,POTRLA,POTR,L,A,T10,T10,-0.35,-1.75,-1.4,2014.july
2014,july,POTRLA,POTR,L,A,T3,T3,-0.55,-1.8,-1.25,2014.july
2014,july,POTRLB,POTR,L,B,T1,47,-0.55,-1.8,-1.25,2014.july
2014,july,POTRLB,POTR,L,B,T6,T6,-0.6,-1.65,-1.05,2014.july
2014,july,POTRLB,POTR,L,B,T9,43,-0.625,-1.6,-0.975,2014.july
2014,july,POTRLC,POTR,L,C,T1,122,-0.55,-1.65,-1.1,2014.july
2014,july,POTRLC,POTR,L,C,T4,T4,-0.7,-1.75,-1.05,2014.july
2014,july,POTRLC,POTR,L,C,T8,113,-0.5,-1.65,-1.15,2014.july
2014,july,POTRLD,POTR,L,D,T1,194,-0.7,-1.7,-1,2014.july
2014,july,POTRLD,POTR,L,D,T2,T2,-0.6,-1.8,-1.2,2014.july
2014,july,POTRLD,POTR,L,D,T8,248,-0.75,-1.775,-1.025,2014.july
2014,july,POTRLE,POTR,L,E,T1,186,-0.55,-1.65,-1.1,2014.july
2014,july,POTRLE,POTR,L,E,T2,187,-0.45,-1.8,-1.35,2014.july
2014,july,POTRLE,POTR,L,E,T3,181,-0.6,-1.6,-1,2014.july
2014,july,POTRMA,POTR,M,A,T2,T2,NA,-1.65,-1.15,2014.july
2014,july,POTRMA,POTR,M,A,T3,T3,NA,-1.45,-0.95,2014.july
2014,july,POTRMA,POTR,M,A,T4,T4,NA,-1.5,-1,2014.july
2014,july,POTRMB,POTR,M,B,T1,1013,-0.5,-1.45,-0.95,2014.july
2014,july,POTRMB,POTR,M,B,T2,T2,-0.7,-1.6,-0.9,2014.july
2014,july,POTRMB,POTR,M,B,T3,1037,-0.5,NA,-1.025,2014.july
2014,july,POTRMC,POTR,M,C,T1,T1,-0.55,NA,-1.146,2014.july
2014,july,POTRMC,POTR,M,C,T4,618,-0.6,NA,-1.096,2014.july
2014,july,POTRMC,POTR,M,C,T8,T8,-0.6,-1.525,-0.925,2014.july
2014,july,POTRMD,POTR,M,D,T3,1411,-0.35,-1.675,-1.325,2014.july
2014,july,POTRMD,POTR,M,D,T4,1425,-0.5,NA,NA,2014.july
2014,july,POTRMD,POTR,M,D,T5,1448,-0.45,-1.65,-1.2,2014.july
2014,july,POTRME,POTR,M,E,T1,T1,-0.45,-1.7,-1.25,2014.july
2014,july,POTRME,POTR,M,E,T3,T3,-0.4,NA,NA,2014.july
2014,july,POTRME,POTR,M,E,T5,T5,-0.4,-1.45,-1.05,2014.july
2019,july,POTRLE,POTR,L,E,NA,187,-0.19292,-1.34355,-1.15063,2019.july
2019,july,POTRLE,POTR,L,E,NA,187,-0.31005,-1.22642,-0.91637,2019.july
2019,july,POTRLE,POTR,L,E,NA,181,-0.18603,-0.86125,-0.67522,2019.july
2019,july,POTRLE,POTR,L,E,NA,181,-0.35139,-0.75101,-0.39962,2019.july
2019,july,POTRLE,POTR,L,E,NA,186,-0.26871,-1.61915,-1.35044,2019.july
2019,july,POTRLE,POTR,L,E,NA,186,-0.2756,-1.70183,-1.42623,2019.july
2019,july,POTRLE,POTR,L,E,NA,179,-0.28938,NA,NA,2019.july
2019,july,POTRLE,POTR,L,E,NA,179,-0.32383,NA,NA,2019.july
2019,july,POTRLD,POTR,L,D,NA,248,-0.28249,-1.18508,-0.90259,2019.july
2019,july,POTRLD,POTR,L,D,NA,248,-0.33072,-1.34355,-1.01283,2019.july
2019,july,POTRLD,POTR,L,D,NA,194,-0.37895,-1.46068,-1.08173,2019.july
2019,july,POTRLD,POTR,L,D,NA,194,-0.24115,-1.66738,-1.42623,2019.july
2019,july,POTRLD,POTR,L,D,NA,204,-0.26871,-1.55025,-1.28154,2019.july
2019,july,POTRLD,POTR,L,D,NA,204,-0.24115,-1.25398,-1.01283,2019.july
2019,july,POTRLC,POTR,L,C,NA,3,-0.35828,-1.26087,-0.90259,2019.july
2019,july,POTRLC,POTR,L,C,NA,3,-0.28938,-1.50202,-1.21264,2019.july
2019,july,POTRLC,POTR,L,C,NA,70,-0.29627,-1.05417,-0.7579,2019.july
2019,july,POTRLC,POTR,L,C,NA,70,-0.26871,-1.25398,-0.98527,2019.july
2019,july,POTRLC,POTR,L,C,NA,75,-0.33072,-1.13685,-0.80613,2019.july
2019,july,POTRLC,POTR,L,C,NA,75,-0.39962,-1.27465,-0.87503,2019.july
2019,july,POTRLG,POTR,L,G,NA,434,-0.28938,-1.28843,-0.99905,2019.july
2019,july,POTRLG,POTR,L,G,NA,434,-0.25493,-1.53647,-1.28154,2019.july
2019,july,POTRLG,POTR,L,G,NA,422,-0.32383,-1.11618,-0.79235,2019.july
2019,july,POTRLG,POTR,L,G,NA,422,-0.28938,-1.28843,-0.99905,2019.july
2019,july,POTRLG,POTR,L,G,NA,450,-0.30316,-1.35733,-1.05417,2019.july
2019,july,POTRLG,POTR,L,G,NA,450,-0.31694,-1.70872,-1.39178,2019.july
2019,july,POTRLB,POTR,L,B,NA,47,-0.51675,-1.00594,-0.48919,2019.july
2019,july,POTRLB,POTR,L,B,NA,47,-0.44096,-0.99216,-0.5512,2019.july
2019,july,POTRLB,POTR,L,B,NA,46,-0.35139,-1.28154,-0.93015,2019.july
2019,july,POTRLB,POTR,L,B,NA,46,-0.33761,-1.22642,-0.88881,2019.july
2019,july,POTRLB,POTR,L,B,NA,3A,-0.31005,-1.12307,-0.81302,2019.july
2019,july,POTRLB,POTR,L,B,NA,3A,-0.59943,-1.18508,-0.58565,2019.july
