plate,column,row,sample
D01,8,G,4379
D01,10,B,4392
D01,11,C,5112
D01,12,G,5125
D02,3,F,5149
D02,3,G,5151
D02,4,A,5153
D02,12,C,3536
D03,1,B,3543
D03,1,E,3546
D03,1,G,3548
D04,1,D,3973
D04,2,C,3981
D04,2,F,3984
D05,7,G,2155
D06,1,B,1732
D06,7,F,1998
D07,5,C,3133
D07,6,G,3146
D07,6,H,3147
D07,7,A,3148
D07,7,B,3149
D07,7,D,3152
D08,1,B,3537
D08,7,F,3969
D09,4,A,4327
D09,4,B,4328
D09,4,C,4329
D09,5,F,4395
D09,5,G,4396
D09,11,B,4555
D09,12,E,4567
D09,12,E,4567
D09,12,H,4571
D11,2,D,1966
D11,2,F,1973
D11,3,B,1979
