new_column,new_row,new_plate,sjnf_plate,old_column,old_well,ordername
1,A,plate_3,2,1,A,sjnf_p_2_c_1_r_A
1,B,plate_3,2,1,B,sjnf_p_2_c_1_r_B
1,C,plate_3,2,1,D,sjnf_p_2_c_1_r_D
1,D,plate_3,2,1,E,sjnf_p_2_c_1_r_E
1,E,plate_3,2,1,F,sjnf_p_2_c_1_r_F
1,F,plate_3,2,1,G,sjnf_p_2_c_1_r_G
1,G,plate_3,2,2,A,sjnf_p_2_c_2_r_A
1,H,plate_3,2,2,B,sjnf_p_2_c_2_r_B
2,A,plate_3,2,2,C,sjnf_p_2_c_2_r_C
2,B,plate_3,2,2,D,sjnf_p_2_c_2_r_D
2,C,plate_3,2,2,E,sjnf_p_2_c_2_r_E
2,D,plate_3,2,2,F,sjnf_p_2_c_2_r_F
2,E,plate_3,2,2,G,sjnf_p_2_c_2_r_G
2,F,plate_3,2,3,A,sjnf_p_2_c_3_r_A
2,G,plate_3,2,3,B,sjnf_p_2_c_3_r_B
2,H,plate_3,2,3,C,sjnf_p_2_c_3_r_C
3,A,plate_3,2,3,D,sjnf_p_2_c_3_r_D
3,B,plate_3,2,3,E,sjnf_p_2_c_3_r_E
3,C,plate_3,2,3,F,sjnf_p_2_c_3_r_F
3,D,plate_3,2,3,G,sjnf_p_2_c_3_r_G
3,E,plate_3,2,4,A,sjnf_p_2_c_4_r_A
3,F,plate_3,2,4,B,sjnf_p_2_c_4_r_B
3,G,plate_3,2,4,C,sjnf_p_2_c_4_r_C
3,H,plate_3,2,4,D,sjnf_p_2_c_4_r_D
4,A,plate_3,2,4,E,sjnf_p_2_c_4_r_E
4,B,plate_3,2,4,F,sjnf_p_2_c_4_r_F
4,C,plate_3,2,4,G,sjnf_p_2_c_4_r_G
4,D,plate_3,2,5,A,sjnf_p_2_c_5_r_A
4,E,plate_3,2,5,B,sjnf_p_2_c_5_r_B
4,F,plate_3,2,5,C,sjnf_p_2_c_5_r_C
4,G,plate_3,2,5,D,sjnf_p_2_c_5_r_D
4,H,plate_3,2,5,E,sjnf_p_2_c_5_r_E
5,A,plate_3,2,5,F,sjnf_p_2_c_5_r_F
5,B,plate_3,2,5,H,sjnf_p_2_c_5_r_H
5,C,plate_3,2,6,A,sjnf_p_2_c_6_r_A
5,D,plate_3,2,6,B,sjnf_p_2_c_6_r_B
5,E,plate_3,2,6,C,sjnf_p_2_c_6_r_C
5,F,plate_3,2,6,D,sjnf_p_2_c_6_r_D
5,G,plate_3,2,6,E,sjnf_p_2_c_6_r_E
5,H,plate_3,2,6,G,sjnf_p_2_c_6_r_G
6,A,plate_3,2,6,H,sjnf_p_2_c_6_r_H
6,B,plate_3,2,7,B,sjnf_p_2_c_7_r_B
6,C,plate_3,2,7,D,sjnf_p_2_c_7_r_D
6,D,plate_3,2,7,E,sjnf_p_2_c_7_r_E
6,E,plate_3,2,7,G,sjnf_p_2_c_7_r_G
6,F,plate_3,2,7,H,sjnf_p_2_c_7_r_H
6,G,plate_3,2,8,C,sjnf_p_2_c_8_r_C
6,H,plate_3,2,8,D,sjnf_p_2_c_8_r_D
7,A,plate_3,2,8,E,sjnf_p_2_c_8_r_E
7,B,plate_3,2,9,A,sjnf_p_2_c_9_r_A
7,C,plate_3,2,9,B,sjnf_p_2_c_9_r_B
7,D,plate_3,2,9,C,sjnf_p_2_c_9_r_C
