plate,column,row,sample
D01,1,a,4311
D01,1,b,4312
D01,1,c,4313
D01,1,d,4314
D01,1,e,4315
D01,1,f,4316
D01,1,g,4316
D01,1,h,4318
D01,2,a,4319
D01,2,b,4321
D01,2,c,4322
D01,2,d,4323
D01,2,e,4324
D01,2,f,4325
D01,2,g,4326
D01,2,h,4327
D01,3,a,4328
D01,3,b,4329
D01,3,c,4331
D01,3,d,4332
D01,3,e,4333
D01,3,f,4334
D01,3,g,4335
D01,3,h,4336
D01,4,a,4337
D01,4,b,4338
D01,4,c,4339
D01,4,d,4341
D01,4,e,4342
D01,4,f,4343
D01,4,g,4344
D01,4,h,4345
D01,5,a,4346
D01,5,b,4347
D01,5,c,4348
D01,5,d,4349
D01,5,e,4351
D01,5,f,4352
D01,5,g,4353
D01,5,h,4354
D01,6,a,4355
D01,6,b,4356
D01,6,c,4357
D01,6,d,4358
D01,6,e,4359
D01,6,f,4361
D01,6,g,4362
D01,6,h,4363
D01,7,a,4364
D01,7,b,4365
D01,7,c,4366
D01,7,d,4367
D01,7,e,4368
D01,7,f,4369
D01,7,g,4371
D01,7,h,4372
D01,8,a,4373
D01,8,b,4374
D01,8,c,4375
D01,8,d,4376
D01,8,e,4377
D01,8,f,4378
D01,8,g,4379
D01,8,h,4381
D01,9,a,4382
D01,9,b,4383
D01,9,c,4384
D01,9,d,4385
D01,9,e,4386
D01,9,f,4387
D01,9,g,4388
D01,9,h,4389
D01,10,a,4391
D01,10,b,4392
D01,10,c,4393
D01,10,d,4394
D01,10,e,4395
D01,10,f,4396
D01,10,g,4397
D01,10,h,4398
D01,11,a,4399
D01,11,b,5111
D01,11,c,5112
D01,11,d,5113
D01,11,e,5114
D01,11,f,5115
D01,11,g,5116
D01,12,h,5117
D01,12,a,5118
D01,12,b,5119
D01,12,c,5121
D01,12,d,5122
D01,12,e,5123
D01,12,f,5124
D01,12,g,5125
D01,12,h,0
