plate,column,row,morphotype
1,1,a,A
1,1,b,B
1,1,c,G
1,1,d,F
1,1,e,G
1,1,f,C
1,1,g,A
1,1,h,K
1,2,a,A
1,2,b,F
1,2,c,A
1,2,d,I
1,2,e,D
1,2,f,D
1,2,g,F
1,2,h,K
1,3,a,D
1,3,b,A
1,3,c,D
1,3,d,F
1,3,e,B
1,3,f,F
1,3,g,F
1,3,h,D
1,4,a,E
1,4,b,B
1,4,c,E
1,4,d,D
1,4,e,B
1,4,f,I
1,4,g,F
1,4,h,I
1,5,a,B
1,5,b,A
1,5,c,B
1,5,d,H
1,5,e,A
1,5,f,D
1,5,g,F
1,5,h,I
1,6,a,A
1,6,b,B
1,6,c,B
1,6,d,H
1,6,e,E
1,6,f,D
1,6,g,D
1,6,h,A
1,7,a,E
1,7,b,F
1,7,c,F
1,7,d,D
1,7,e,E
1,7,f,J
1,7,g,C
1,7,h,D
1,8,a,E
1,8,b,F
1,8,c,F
1,8,d,D
1,8,e,E
1,8,f,J
1,8,g,C
1,8,h,D
1,9,a,A
1,9,b,A
1,9,c,A
1,9,d,D
1,9,e,A
1,9,f,I
1,9,g,F
1,9,h,G
1,10,a,D
1,10,b,D
1,10,c,G
1,10,d,F
1,10,e,G
1,10,f,D
1,10,g,J
1,10,h,I
1,11,a,A
1,11,b,B
1,11,c,A
1,11,d,B
1,11,e,B
1,11,f,I
1,11,g,A
1,11,h,D
1,12,a,A
1,12,b,A
1,12,c,B
1,12,d,H
1,12,e,E
1,12,f,D
1,12,g,BLANK
1,12,h,A
2,1,a,D
2,1,b,L
2,1,c,D
2,1,d,B
2,1,e,D
2,1,f,I
2,1,g,B
2,1,h,F
2,2,a,L
2,2,b,D
2,2,c,B
2,2,d,A
2,2,e,B
2,2,f,A
2,2,g,A
2,2,h,D
2,3,a,A
2,3,b,F
2,3,c,E
2,3,d,B
2,3,e,B
2,3,f,D
2,3,g,D
2,3,h,E
2,4,a,D
2,4,b,L
2,4,c,E
2,4,d,A
2,4,e,C
2,4,f,D
2,4,g,D
2,4,h,F
2,5,a,I
2,5,b,D
2,5,c,K
2,5,d,E
2,5,e,B
2,5,f,I
2,5,g,A
2,5,h,D
2,6,a,I
2,6,b,A
2,6,c,E
2,6,d,B
2,6,e,D
2,6,f,D
2,6,g,B
2,6,h,C
2,7,a,F
2,7,b,K
2,7,c,B
2,7,d,B
2,7,e,I
2,7,f,K
2,7,g,C
2,7,h,D
2,8,a,A
2,8,b,I
2,8,c,B
2,8,d,B
2,8,e,B
2,8,f,A
2,8,g,A
2,8,h,D
2,9,a,D
2,9,b,D
2,9,c,E
2,9,d,E
2,9,e,B
2,9,f,A
2,9,g,B
2,9,h,F
2,10,a,I
2,10,b,A
2,10,c,E
2,10,d,E
2,10,e,B
2,10,f,A
2,10,g,C
2,10,h,C
2,11,a,D
2,11,b,H
2,11,c,E
2,11,d,A
2,11,e,D
2,11,f,A
2,11,g,A
2,11,h,D
2,12,a,B
2,12,b,H
2,12,c,A
2,12,d,H
2,12,e,B
2,12,f,A
2,12,g,B
2,12,h,F
3,1,a,D
3,1,b,B
3,1,c,D
3,1,d,B
3,1,e,N
3,1,f,B
3,1,g,K
3,1,h,K
3,2,a,D
3,2,b,B
3,2,c,A
3,2,d,A
3,2,e,B
3,2,f,B
3,2,g,K
3,2,h,A
3,3,a,B
3,3,b,F
3,3,c,I
3,3,d,B
3,3,e,L
3,3,f,B
3,3,g,N
3,3,h,D
3,4,a,L
3,4,b,I
3,4,c,B
3,4,d,I
3,4,e,E
3,4,f,B
3,4,g,K
3,4,h,H
3,5,a,D
3,5,b,G
3,5,c,F
3,5,d,B
3,5,e,A
3,5,f,D
3,5,g,A
3,5,h,K
3,6,a,E
3,6,b,I
3,6,c,M
3,6,d,B
3,6,e,I
