plate,row,elevation,site,tree
1,a,,,248
1,b,m,c,623
1,c,,,202
1,d,m,d,1411
1,e,,,179
1,f,m,d,1425
1,g,m,a,722
1,h,m,c,674
2,a,m,a,1070
2,b,m,b,1037
2,c,,,141
2,d,,,186
2,e,,,1496
2,f,m,e,572
2,g,m,c,t1
2,h,m,a,744
3,a,,,2218
3,b,m,e,t3
3,c,,,2143A
3,d,,,2602
3,e,,,2398
3,f,,,2792
3,g,l,g,gr1
3,h,l,g,gr3
4,a,,,402
4,b,,,2127
4,c,l,c,gr1
4,d,m,e,t1
4,e,,,2815
4,f,l,f,gr1
4,g,,,106
4,h,,,2234
5,a,,,108
5,b,,,2551
5,c,,,2572
5,d,,,2808
5,e,,,2203
5,f,,,779
5,g,,,132
5,h,l,g,gr2
6,a,l,f,gr2
6,b,m,b,1013
6,c,m,c,632
6,d,,,52
6,e,,,444
6,f,,,2616
6,g,m,a,739
6,h,,,1448
7,a,,,114
7,b,,,1039
7,c,m,e,t5
7,d,,,1018
7,e,l,c,gr2
7,f,,,157
7,g,,,448
7,h,,,2539
8,a,,,2439
8,b,,,2431A
8,c,,,2097
8,d,,,1479
8,e,,,2828
8,f,m,e,585
8,g,,,2441
8,h,,,2397
9,a,,,2758
9,b,l,f,gr3
9,c,,,2021
9,d,m,c,t4
9,e,,,2080
9,f,,,2244
9,g,,,2314
9,h,,,410
10,a,,,197
10,b,,,197
10,c,,,225
10,d,,,225
