plate,column,row,new_column,new_well,newplate,sample
D08,1,F,1,A,D12,3572
D08,1,H,1,B,D12,3575
D08,2,A,1,C,D12,3587
D08,2,B,1,D,D12,3588
D08,2,C,1,E,D12,3589
D08,3,D,1,F,D12,3599
D08,3,E,1,G,D12,3711
D08,3,F,1,H,D12,3712
D08,4,G,2,A,D12,3931
D08,4,H,2,B,D12,3932
D08,5,A,2,C,D12,3933
D08,5,B,2,D,D12,3934
D08,5,C,2,E,D12,3935
D08,5,D,2,F,D12,3936
D08,5,E,2,G,D12,3937
D08,5,F,2,H,D12,3939
D08,5,G,3,A,D12,3942
D08,5,H,3,B,D12,3944
D08,6,C,3,C,D12,3951
D08,6,E,3,D,D12,3955
D08,6,G,3,E,D12,3957
D08,7,A,3,F,D12,3962
D08,7,B,3,G,D12,3963
D08,7,C,3,H,D12,3964
D08,7,D,4,A,D12,3967
D08,7,G,4,B,D12,3971
D08,7,H,4,C,D12,3972
D08,8,D,4,D,D12,3982
D08,8,F,4,E,D12,3986
D08,9,E,4,F,D12,4158
D08,10,B,4,G,D12,4164
D08,10,D,4,H,D12,4166
D08,10,F,5,A,D12,4168
D08,11,A,5,B,D12,4172
D08,11,F,5,C,D12,4177
D08,12,D,5,D,D12,4184
D08,12,F,5,E,D12,4186
D08,12,G,5,F,D12,4187
D08,12,H,5,G,D12,4188
D09,1,A,5,H,D12,4189
D09,1,B,6,A,D12,4191
D09,1,G,6,B,D12,4196
D09,2,E,6,C,D12,4314
D09,2,G,6,D,D12,4316
D09,3,C,6,E,D12,4321
D09,3,D,6,F,D12,4322
D09,3,H,6,G,D12,4326
D09,4,E,6,H,D12,4332
D09,5,B,7,A,D12,4338
D09,5,D,7,B,D12,4393
D09,5,H,7,C,D12,4397
D09,6,G,7,D,D12,4516
D09,6,H,7,E,D12,4517
D09,7,A,7,F,D12,4518
D09,7,C,7,G,D12,4521
D09,7,E,7,H,D12,4523
D09,7,F,8,A,D12,4525
D09,7,G,8,B,D12,4526
D09,7,H,8,C,D12,4527
D09,8,E,8,D,D12,4533
D09,8,F,8,E,D12,4534
D09,8,G,8,F,D12,4534
D09,8,H,8,G,D12,4535
D09,9,B,8,H,D12,4537
D09,9,C,9,A,D12,4538
D09,9,D,9,B,D12,4539
D09,9,E,9,C,D12,4541
D09,9,F,9,D,D12,4542
D09,9,G,9,E,D12,4543
D09,10,B,9,F,D12,4546
D09,10,F,9,G,D12,4551
D09,10,H,9,H,D12,4553
D09,11,A,10,A,D12,4554
D09,11,C,10,B,D12,4556
D09,11,G,10,C,D12,4561
D09,12,C,10,D,D12,4565
D09,12,D,10,E,D12,4566
D09,12,F,10,F,D12,4568
D09,12,G,10,G,D12,4569
D11,1,A,10,H,D12,1733
D11,1,D,11,A,D12,1743
D11,1,E,11,B,D12,1744
D11,1,H,11,C,D12,1958
D11,2,B,11,D,D12,1962
D11,2,G,11,E,D12,1974
D11,2,H,11,F,D12,1977
D11,3,A,11,G,D12,1978
D11,3,D,11,H,D12,1985
D11,4,A,12,A,D12,1996
D11,4,B,12,B,D12,1997
D11,4,E,12,C,D12,2326
D11,4,F,12,D,D12,2328
D11,5,C,12,E,D12,2341
D11,5,E,12,F,D12,2346
D11,5,F,12,G,D12,2535
D11,6,A,12,H,D12,2539
